frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
291;1;1;1;2808.819768;2809.016808;2809.018890;819605;143314;143314;1792;1792;2293024;2293076;100.000;1109.925;1109.925;550.338;590.753;550.338;2.078;0.977;1.027;15.932;13.849;2.083;49.287;13.074;197.040;17.814;15.909;17.424;6.084;0;0;0;0;0;0;0;0
292;1;1;1;2808.853737;2809.048741;2809.049843;827799;143732;143732;1797;1797;2299712;2299764;100.000;2090.522;2090.522;551.943;592.471;551.943;1.098;0.690;0.740;30.953;29.851;1.102;67.133;3.559;195.005;15.433;31.934;1.400;5.792;0;0;0;0;0;0;0;0
293;1;1;1;2808.886810;2809.081158;2809.082454;830771;144010;144010;1801;1801;2304160;2304212;100.000;1781.276;1781.276;553.011;593.629;553.011;1.291;0.858;0.908;32.611;31.315;1.296;70.084;3.974;194.348;14.710;32.416;0.917;5.487;0;0;0;0;0;0;0;0
294;1;1;1;2808.920573;2809.115339;2809.117221;835004;145768;145768;1823;1823;2332288;2332340;100.000;1246.529;1246.529;559.762;600.876;559.762;1.878;0.983;1.034;34.767;32.885;1.882;54.926;5.414;194.766;16.144;34.181;0.848;5.197;0;0;0;0;0;0;0;0
295;1;1;1;2808.953137;2809.148432;2809.149734;814967;148094;148094;1852;1852;2369504;2369556;100.000;1832.925;1832.925;568.693;610.462;568.693;1.298;0.767;0.819;32.513;31.211;1.302;62.871;4.005;195.296;15.325;33.094;0.240;4.887;0;0;0;0;0;0;0;0
296;1;1;1;2808.987567;2809.250034;2809.251437;818656;149404;149404;1868;1868;2390464;2390516;100.000;1707.960;1707.960;573.724;615.853;573.724;1.400;0.503;0.532;101.702;100.300;1.402;37.917;1.379;262.468;83.693;101.602;68.269;8.848;0;0;0;0;0;0;0;0
297;1;1;1;2809.020019;2809.270104;2809.271078;819807;149370;149370;1868;1868;2389920;2389972;100.000;2469.767;2469.767;573.593;615.723;573.593;0.971;0.750;0.777;19.641;18.668;0.973;79.878;4.955;250.085;70.001;20.070;13.263;9.124;0;0;0;0;0;0;0;0
298;1;1;1;2809.053738;2809.286910;2809.288413;814766;148012;148012;1851;1851;2368192;2368244;100.000;1582.172;1582.172;568.379;610.125;568.379;1.500;0.579;0.608;17.336;15.833;1.503;40.420;8.670;233.172;54.003;16.806;16.528;9.587;0;0;0;0;0;0;0;0
299;1;1;1;2809.086840;2809.306949;2809.308081;809259;146174;146174;1828;1828;2338784;2338836;100.000;2066.394;2066.394;561.321;602.548;561.321;1.129;0.529;0.558;19.668;18.535;1.133;49.298;5.760;220.109;40.338;20.038;13.295;9.819;0;0;0;0;0;0;0;0
300;1;1;1;2809.120352;2809.325226;2809.326580;812212;144110;144110;1802;1802;2305760;2305812;100.000;1707.062;1707.062;553.395;594.036;553.395;1.350;0.487;0.515;18.499;17.145;1.354;38.043;7.317;204.874;25.503;18.278;15.055;10.146;0;0;0;0;0;0;0;0
