frame_id;rx_complete;tx_complete;current_skip;event;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;codec_exit_time;node_exit_timestamp;original_points;rx_points;processed_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;conversion_ms;geometry_aggregation_ms;max_r_ms;projection_ms;codec_write_ms;active_tx_ms;active_process_ms;reference_process_ms;total_processing_ms;total_residency_ms;reference_residency_ms;node_efficiency_pct;reference_efficiency_pct;gpu_transfer_ms;gpu_kernel_ms;gpu_packing_ms;gpu_copyback_ms;host_overhead_ms;camera_node_ms;e2e_latency_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;reference_jitter_ms;raw_queue_ms;render_queue_ms;workload_ewma_ms;workload_ratio;frame_backlog;codec_backlog;encode_service_ms;encode_h265_ms;mse_y;psnr_y;ssim_y;mpeg_bytes_generated;ffmpeg_write_calls;ffmpeg_write_eagain;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
11;1;1;1;IDLE;0.000;0.000;1.000;3281.546568;3281.550314;3281.594014;3281.645203;778554;778554;778554;9732;19;12456864;12456904;100.000;1547.795;1547.795;5.796;6.368;2989.657;3.455;5.917;3.533;6.963;19.039;0.002;38.907;29.457;86.841;94.889;43.701;41.002;67.407;4.143;0.855;0.489;1.440;0.036;3.745;98.635;96.773;33.972;0.639;0.437;0.639;0.014;0.186;14.418;0.433;0;2;54.374;54.375;0.200000;55.230000;0.998455;24064;1;0;0;0;0;0;0
12;1;1;1;IDLE;0.000;0.000;1.000;3281.580009;3281.582749;3281.625880;3281.680272;779986;779986;779986;9750;20;12479776;12479816;100.000;1772.872;1772.872;6.157;6.760;2995.156;3.662;5.681;3.357;6.312;19.674;0.003;38.686;29.648;90.483;97.523;43.131;39.669;68.740;3.077;0.768;0.464;1.967;0.036;2.740;100.262;98.509;32.435;0.898;0.466;0.898;0.002;1.063;14.653;0.440;0;2;23.149;38.993;0.200000;55.200000;0.998487;25568;1;0;0;0;0;0;0
13;1;1;1;IDLE;0.000;0.000;1.000;3281.613333;3281.616079;3281.654031;3281.714301;780926;780926;780926;9762;20;12494816;12494856;100.000;941.887;941.887;6.248;6.851;2998.765;11.590;4.272;2.228;5.178;12.912;0.003;36.180;29.681;84.956;98.222;37.952;36.835;78.205;2.409;0.800;0.458;1.482;0.029;2.746;100.968;99.205;33.330;0.003;0.437;0.003;0.052;0.044;13.912;0.417;0;2;39.147;39.149;0.200000;55.100000;0.998549;25944;1;0;0;0;0;0;0
14;1;1;1;IDLE;0.000;0.000;1.000;3281.646797;3281.651089;3281.690232;3281.747768;782770;782770;782770;9785;21;12524320;12524360;100.000;1130.787;1130.787;6.428;7.062;3005.846;3.906;6.320;2.841;5.155;13.252;0.002;31.475;22.314;85.603;96.679;39.144;32.556;57.005;2.146;0.784;0.465;1.727;0.033;4.292;100.972;99.339;35.010;1.676;0.514;1.676;0.002;0.496;14.018;0.421;0;2;37.316;37.317;0.200000;55.090000;0.998587;26696;1;0;0;0;0;0;0
15;1;1;1;IDLE;0.000;0.000;1.000;3281.679959;3281.682939;3281.725315;3281.781532;784474;784474;784474;9806;21;12551584;12551624;100.000;1306.970;1306.970;6.518;7.152;3012.390;3.932;5.936;3.318;5.242;18.045;0.002;36.473;27.218;88.989;98.593;42.376;36.994;64.231;2.268;0.794;0.472;1.676;0.032;2.980;101.573;99.770;31.851;1.483;0.575;1.483;0.003;0.227;14.140;0.424;0;2;40.493;40.494;0.200000;55.100000;0.998604;27072;1;0;0;0;0;0;0
16;1;1;1;IDLE;0.000;0.000;1.000;3281.712538;3281.715389;3281.758124;3281.821855;785193;785193;785193;9815;101;12563088;12563128;100.000;1355.311;1355.311;31.650;34.780;3015.151;3.558;6.281;3.376;5.300;18.461;0.007;36.976;27.319;97.197;106.467;42.735;34.730;63.927;2.597;0.799;0.460;1.398;0.046;2.851;109.317;106.759;32.449;0.884;0.594;0.884;0.003;0.043;14.348;0.430;0;2;41.865;41.867;0.280000;53.620000;0.991817;131788;1;0;0;0;0;0;0
17;1;1;1;IDLE;0.000;0.000;1.000;3281.745907;3281.748758;3281.793470;3281.821918;782720;782720;782720;9784;22;12523520;12523560;100.000;1436.396;1436.396;6.970;7.635;3005.654;3.583;6.076;3.832;5.938;20.049;0.001;39.478;29.571;64.441;73.160;44.712;53.962;66.136;2.988;0.768;0.462;1.668;0.052;2.851;76.011;73.488;33.369;0.036;0.559;0.036;0.003;0.094;14.725;0.442;0;2;48.431;48.433;0.260000;54.040000;0.995978;28952;1;0;0;0;0;0;0
18;1;1;1;IDLE;0.000;0.000;1.000;3281.779182;3281.781954;3281.826323;3281.887528;781613;781613;781613;9771;18;12505808;12505848;100.000;1507.687;1507.687;5.616;6.156;3001.404;4.009;6.052;3.615;6.696;19.242;0.002;39.613;29.946;97.278;105.573;44.369;37.522;67.494;4.009;0.775;0.438;1.437;0.037;2.773;108.346;105.765;33.197;0.137;0.533;0.137;0.003;0.465;15.137;0.454;0;2;42.559;42.560;0.260000;53.980000;0.996867;23312;1;0;0;0;0;0;0
19;1;1;1;IDLE;0.000;0.000;1.000;3281.812560;3281.815398;3281.860662;3281.887600;780006;780006;780006;9751;17;12480096;12480136;100.000;1501.808;1501.808;5.390;5.900;2995.233;4.855;5.724;2.834;7.397;20.548;0.001;41.359;32.801;63.892;72.202;45.264;57.282;72.465;4.483;0.916;0.460;1.504;0.035;2.838;75.040;72.504;33.443;0.110;0.506;0.110;0.002;0.447;15.344;0.460;0;2;47.407;47.410;0.260000;54.050000;0.997226;22372;1;0;0;0;0;0;0
20;1;1;1;IDLE;0.000;0.000;1.000;3281.846391;3281.849809;3281.893107;3281.951135;780302;780302;780302;9754;18;12484832;12484872;100.000;1396.776;1396.776;5.481;6.021;2996.369;3.809;6.282;3.676;6.716;17.451;0.001;37.934;27.977;92.387;101.326;43.298;37.438;64.615;4.064;0.766;0.450;1.398;0.039;3.418;104.744;102.705;34.411;1.078;0.542;1.078;0.015;0.218;15.680;0.470;0;2;41.146;41.149;0.240000;54.330000;0.997649;22748;1;0;0;0;0;0;0
21;1;1;1;IDLE;0.000;0.000;1.000;3281.879960;3281.882785;3281.927775;3281.981953;779066;779066;779066;9739;19;12465056;12465096;100.000;1712.656;1712.656;6.022;6.594;2991.623;4.204;5.640;3.086;6.041;22.130;0.003;41.101;32.375;91.889;99.168;44.990;41.446;71.960;2.912;0.764;0.455;1.877;0.032;2.825;101.992;100.190;32.976;0.357;0.531;0.357;0.002;0.811;15.453;0.464;0;2;45.485;45.487;0.220000;54.610000;0.997973;25004;1;0;0;0;0;0;0
22;1;1;1;IDLE;0.000;0.000;1.000;3281.913155;3281.916375;3281.958747;3281.982015;778280;778280;778280;9729;19;12452480;12452520;100.000;1458.987;1458.987;6.022;6.594;2988.605;3.295;5.936;3.485;6.864;17.132;0.001;36.713;27.291;57.106;65.641;42.372;55.930;64.409;3.865;0.765;0.451;1.744;0.039;3.220;68.861;66.919;33.589;0.256;0.513;0.256;0.003;0.416;15.664;0.470;0;2;40.332;40.337;0.210000;54.950000;0.998140;25004;1;0;0;0;0;0;0
23;1;1;1;IDLE;0.000;0.000;1.000;3281.945912;3281.948670;3281.992924;3282.050242;778907;778907;778907;9737;20;12462512;12462552;100.000;1701.305;1701.305;6.248;6.851;2991.012;3.737;5.831;3.476;7.098;20.040;0.002;40.182;30.875;94.247;101.572;44.254;39.560;69.767;4.222;0.937;0.456;1.444;0.040;2.758;104.330;101.813;32.295;1.038;0.546;1.038;0.002;0.480;15.853;0.476;0;2;41.596;41.597;0.200000;55.160000;0.998286;25944;1;0;0;0;0;0;0
24;1;1;1;IDLE;0.000;0.000;1.000;3281.979690;3281.982587;3282.024994;3282.082407;779289;779289;779289;9742;19;12468624;12468664;100.000;1394.377;1394.377;5.796;6.368;2992.479;3.426;5.831;3.463;6.377;17.030;0.001;36.128;26.833;90.878;99.820;42.407;36.193;63.274;3.434;0.772;0.467;1.663;0.041;2.896;102.717;100.644;33.917;0.583;0.549;0.583;0.003;0.759;15.811;0.474;0;2;42.273;42.275;0.200000;55.230000;0.998388;24064;1;0;0;0;0;0;0
25;1;1;1;IDLE;0.000;0.000;1.000;3282.012519;3282.015367;3282.058618;3282.082488;779739;779739;779739;9747;19;12475824;12475864;100.000;1441.477;1441.477;6.022;6.594;2994.207;3.588;5.760;3.493;6.712;18.591;0.001;38.145;28.892;58.466;67.121;43.251;56.830;66.800;3.861;0.778;0.482;1.553;0.037;2.848;69.968;67.391;32.780;0.553;0.549;0.553;0.003;0.035;15.852;0.476;0;2;42.375;42.377;0.200000;55.130000;0.998476;25004;1;0;0;0;0;0;0
26;1;1;1;IDLE;0.000;0.000;1.000;3282.045838;3282.048594;3282.093151;3282.115301;779364;779364;779364;9743;20;12469824;12469864;100.000;1686.383;1686.383;6.338;6.941;2992.767;3.481;6.287;3.309;6.699;20.375;0.001;40.152;30.555;59.313;66.707;44.556;60.191;68.576;4.006;0.763;0.452;1.441;0.038;2.757;69.464;66.872;33.227;0.106;0.521;0.106;0.003;0.488;15.966;0.479;0;2;42.468;42.469;0.200000;55.110000;0.998477;26320;1;0;0;0;0;0;0
27;1;1;1;IDLE;0.000;0.000;1.000;3282.079214;3282.081984;3282.125600;3282.180316;780025;780025;780025;9751;21;12480400;12480440;100.000;1449.578;1449.578;6.383;7.017;2995.306;3.275;6.044;3.377;6.546;18.621;0.002;37.863;28.442;89.722;98.332;43.616;38.506;65.211;3.880;0.775;0.459;1.396;0.037;2.770;101.102;98.553;33.390;0.056;0.492;0.056;0.003;0.413;15.969;0.479;0;2;42.810;42.812;0.200000;55.110000;0.998543;26508;1;0;0;0;0;0;0
28;1;1;1;IDLE;0.000;0.000;1.000;3282.112584;3282.115395;3282.158859;3282.214478;780373;780373;780373;9755;21;12485968;12486008;100.000;1518.678;1518.678;6.428;7.062;2996.642;3.535;6.073;3.355;6.979;18.710;0.002;38.652;29.224;90.861;99.083;43.464;39.009;67.236;4.010;0.769;0.463;1.700;0.038;2.811;101.894;99.381;33.411;0.078;0.466;0.078;0.003;0.122;16.081;0.482;0;2;40.154;40.165;0.200000;55.110000;0.998604;26696;1;0;0;0;0;0;0
29;1;1;1;IDLE;0.000;0.000;1.000;3282.145850;3282.148603;3282.190722;3282.247469;781651;781651;781651;9771;22;12506416;12506456;100.000;1591.722;1591.722;6.744;7.409;3001.549;3.426;6.323;3.318;6.633;17.929;0.002;37.630;27.988;91.009;98.866;42.119;38.061;66.449;3.941;0.774;0.462;1.420;0.036;2.753;101.619;99.039;33.208;0.125;0.445;0.125;0.014;0.044;16.132;0.484;0;2;41.680;41.682;0.200000;55.070000;0.998615;28012;1;0;0;0;0;0;0
30;1;1;1;IDLE;0.000;0.000;1.000;3282.179238;3282.182139;3282.224929;3282.280515;781375;781375;781375;9768;21;12502000;12502040;100.000;1375.539;1375.539;6.383;7.017;3000.490;3.747;6.020;3.404;5.726;18.524;0.002;37.421;27.997;89.287;98.376;42.790;38.038;65.428;2.747;0.774;0.467;1.700;0.038;2.901;101.277;98.753;33.536;0.203;0.430;0.203;0.003;0.023;15.890;0.477;0;2;41.059;41.060;0.200000;55.100000;0.998650;26508;1;0;0;0;0;0;0
31;1;1;1;IDLE;0.000;0.000;1.000;3282.212625;3282.215462;3282.259530;3282.314714;784392;784392;784392;9805;100;12550272;12550312;100.000;1389.512;1389.512;31.425;34.524;3012.075;3.476;6.299;3.467;5.987;19.047;0.006;38.277;28.510;90.220;99.252;44.068;38.565;64.696;2.973;0.770;0.459;1.741;0.045;2.837;102.089;99.618;33.322;0.011;0.404;0.011;0.002;0.232;15.859;0.476;0;2;40.021;40.031;0.280000;53.700000;0.991845;130848;1;0;0;0;0;0;0
32;1;1;1;IDLE;0.000;0.000;1.000;3282.246015;3282.248877;3282.292605;3282.347784;782671;782671;782671;9784;22;12522736;12522776;100.000;1321.265;1321.265;6.924;7.590;3005.466;3.530;5.977;3.454;5.139;19.647;0.002;37.747;28.316;89.429;98.907;43.728;38.164;64.755;2.484;0.769;0.453;1.403;0.031;2.862;101.769;99.355;33.415;0.082;0.384;0.082;0.002;0.030;15.540;0.466;0;2;41.744;41.746;0.260000;54.050000;0.995832;28764;1;0;0;0;0;0;0
33;1;1;1;IDLE;0.000;0.000;1.000;3282.279395;3282.282225;3282.325679;3282.380469;776999;776999;776999;9713;18;12431984;12432024;100.000;1342.694;1342.694;5.706;6.247;2983.686;3.676;5.707;3.320;6.356;18.793;0.002;37.851;28.825;88.984;98.243;43.454;38.528;66.335;3.537;0.776;0.482;1.522;0.039;2.830;101.074;98.706;33.348;0.015;0.360;0.015;0.003;0.015;15.503;0.465;0;2;40.887;40.889;0.260000;53.990000;0.996744;23688;1;0;0;0;0;0;0
34;1;1;1;IDLE;0.000;0.000;1.000;3282.312690;3282.315510;3282.358758;3282.414935;778650;778650;778650;9734;18;12458400;12458440;100.000;1463.813;1463.813;5.571;6.111;2990.026;3.334;5.977;3.351;6.303;19.048;0.002;38.013;28.685;90.915;99.426;43.248;38.233;66.326;3.641;0.772;0.457;1.394;0.040;2.820;102.246;99.839;33.284;0.049;0.341;0.049;0.003;0.053;15.538;0.466;0;2;40.753;40.757;0.260000;54.060000;0.997247;23124;1;0;0;0;0;0;0
35;1;1;1;IDLE;0.000;0.000;1.000;3282.346065;3282.348934;3282.390826;3282.448076;778007;778007;778007;9726;18;12448112;12448152;100.000;1365.153;1365.153;5.616;6.156;2987.556;3.339;6.226;3.373;5.253;17.860;0.002;36.052;26.453;90.023;99.142;41.893;36.364;63.144;2.602;0.761;0.451;1.400;0.040;2.868;102.010;99.646;33.424;0.091;0.325;0.091;0.004;0.056;15.370;0.461;0;2;41.965;41.967;0.240000;54.370000;0.997680;23312;1;0;0;0;0;0;0
36;1;1;1;IDLE;0.000;0.000;1.000;3282.379385;3282.382348;3282.425756;3282.480825;776483;776483;776483;9707;19;12423728;12423768;100.000;1376.254;1376.254;6.022;6.594;2981.704;3.534;5.912;3.332;5.990;18.893;0.002;37.661;28.416;89.450;98.477;43.408;38.243;65.463;3.118;0.770;0.479;1.584;0.038;2.963;101.440;99.062;33.414;0.081;0.310;0.081;0.003;0.250;15.339;0.460;0;2;41.201;41.202;0.220000;54.730000;0.997994;25004;1;0;0;0;0;0;0
37;1;1;1;IDLE;0.000;0.000;1.000;3282.412679;3282.415562;3282.458983;3282.513573;781287;781287;781287;9767;20;12500592;12500632;100.000;1307.163;1307.163;6.248;6.851;3000.152;3.578;6.017;3.348;6.341;18.044;0.002;37.328;27.963;88.448;98.011;43.421;38.086;64.399;3.370;0.770;0.460;1.698;0.042;2.883;100.894;98.477;33.215;0.119;0.298;0.119;0.014;0.092;15.433;0.463;0;2;39.874;39.884;0.210000;54.940000;0.998197;25944;1;0;0;0;0;0;0
38;1;1;1;IDLE;0.000;0.000;1.000;3282.446064;3282.448881;3282.492060;3282.546651;780329;780329;780329;9755;22;12485264;12485304;100.000;1404.098;1404.098;6.699;7.364;2996.473;3.534;5.909;3.469;6.354;18.038;0.003;37.304;27.926;88.878;97.770;43.179;38.155;64.675;3.441;0.776;0.477;1.621;0.040;2.816;100.586;98.221;33.319;0.015;0.280;0.015;0.003;0.513;15.512;0.465;0;2;39.546;39.548;0.200000;55.040000;0.998388;27824;1;0;0;0;0;0;0
39;1;1;1;IDLE;0.000;0.000;1.000;3282.479351;3282.482205;3282.523496;3282.579851;780785;780785;780785;9760;23;12492560;12492600;100.000;1328.600;1328.600;7.015;7.711;2998.224;3.472;6.330;3.242;5.451;16.406;0.003;34.901;25.329;88.243;97.646;41.291;35.742;61.342;2.472;0.777;0.457;1.712;0.034;2.854;100.500;98.088;33.324;0.009;0.263;0.009;0.003;0.455;15.392;0.462;0;2;39.555;39.557;0.210000;54.970000;0.998437;29140;1;0;0;0;0;0;0
40;1;1;1;IDLE;0.000;0.000;1.000;3282.512694;3282.515665;3282.556471;3282.613511;785430;785430;785430;9818;23;12566880;12566920;100.000;1255.064;1255.064;7.150;7.847;3016.061;3.683;6.100;3.197;5.170;16.304;0.002;34.455;25.158;87.833;97.846;40.806;35.213;61.652;2.288;0.773;0.476;1.600;0.033;2.971;100.817;98.415;33.460;0.127;0.255;0.127;0.003;0.018;15.165;0.455;0;2;39.678;39.682;0.210000;54.920000;0.998462;29704;1;0;0;0;0;0;0
41;1;1;1;IDLE;0.000;0.000;1.000;3282.546103;3282.549162;3282.590283;3282.646242;789479;789479;789479;9869;24;12631664;12631704;100.000;1278.428;1278.428;7.466;8.194;3031.609;3.801;5.997;3.284;5.236;16.031;0.002;34.350;25.068;87.200;97.081;41.121;35.382;60.962;2.349;0.774;0.483;1.599;0.032;3.059;100.140;97.813;33.497;0.163;0.249;0.163;0.003;0.688;15.006;0.450;0;2;39.254;39.256;0.220000;54.780000;0.998500;31020;1;0;0;0;0;0;0
42;1;1;1;IDLE;0.000;0.000;1.000;3282.579390;3282.582396;3282.623523;3282.679347;789348;789348;789348;9867;25;12629568;12629608;100.000;1202.173;1202.173;7.646;8.405;3031.106;3.769;6.018;3.144;5.006;16.426;0.002;34.362;25.200;86.445;96.951;41.127;35.443;61.275;2.250;0.790;0.484;1.451;0.031;3.006;99.957;97.584;33.235;0.099;0.240;0.099;0.003;0.024;14.799;0.444;0;2;39.140;39.142;0.220000;54.770000;0.998512;31772;1;0;0;0;0;0;0
43;1;1;1;IDLE;0.000;0.000;1.000;3282.612751;3282.615721;3282.655713;3282.679439;792714;792714;792714;9909;24;12683424;12683464;100.000;1309.860;1309.860;7.601;8.329;3044.031;3.859;5.999;3.384;5.289;15.316;0.001;33.848;24.465;54.034;63.718;39.992;53.123;61.174;2.385;0.782;0.483;1.608;0.031;2.970;66.687;64.342;33.325;0.009;0.225;0.009;0.003;0.316;14.770;0.443;0;2;38.934;38.948;0.220000;54.670000;0.998523;31584;1;0;0;0;0;0;0
44;1;1;1;IDLE;0.000;0.000;1.000;3282.646051;3282.649075;3282.688419;3282.746928;790865;790865;790865;9886;25;12653840;12653880;100.000;1261.233;1261.233;7.646;8.405;3036.931;3.760;5.817;3.306;5.130;14.949;0.004;32.961;23.839;87.820;97.853;39.344;33.684;60.590;2.279;0.793;0.482;1.543;0.033;3.024;100.877;98.499;33.354;0.020;0.213;0.020;0.003;0.105;14.643;0.439;0;2;39.680;39.682;0.220000;54.680000;0.998487;31772;1;0;0;0;0;0;0
45;1;1;1;IDLE;0.000;0.000;1.000;3282.679445;3282.682446;3282.723589;3282.780667;787976;787976;787976;9850;25;12607616;12607656;100.000;1143.133;1143.133;7.737;8.496;3025.837;3.672;5.666;3.041;4.880;16.037;0.002;33.296;24.589;87.191;98.220;41.142;33.899;59.765;2.129;0.798;0.478;1.444;0.031;3.002;101.222;98.904;33.372;0.038;0.202;0.038;0.002;0.485;14.382;0.431;0;2;39.372;39.374;0.220000;54.670000;0.998514;32148;1;0;0;0;0;0;0
46;1;1;1;IDLE;0.000;0.000;1.000;3282.712730;3282.715719;3282.757689;3282.814710;789717;789717;789717;9872;111;12635472;12635512;100.000;1274.477;1274.477;35.034;38.476;3032.523;3.836;6.185;3.070;5.215;17.202;0.006;35.509;26.253;89.077;98.991;41.970;35.871;62.552;2.289;0.775;0.476;1.641;0.033;2.989;101.980;99.614;33.273;0.061;0.193;0.061;0.016;0.366;14.407;0.432;0;2;40.175;40.177;0.310000;53.190000;0.990669;145888;1;0;0;0;0;0;0
47;1;1;1;IDLE;0.000;0.000;1.000;3282.746040;3282.748964;3282.792741;3282.848931;784950;784950;784950;9812;23;12559200;12559240;100.000;1251.023;1251.023;7.195;7.892;3014.218;3.620;5.885;3.305;5.176;19.088;0.002;37.074;27.883;89.927;99.967;43.776;37.086;63.695;2.271;0.774;0.466;1.632;0.032;2.925;102.891;100.502;33.245;0.088;0.186;0.088;0.003;0.278;14.400;0.432;0;2;41.046;41.047;0.300000;53.320000;0.995194;29892;1;0;0;0;0;0;0
48;1;1;1;IDLE;0.000;0.000;1.000;3282.779366;3282.782103;3282.824925;3282.881994;781130;781130;781130;9765;19;12498080;12498120;100.000;1363.081;1363.081;5.887;6.458;2999.549;3.866;5.709;3.541;6.697;17.145;0.002;36.959;27.709;90.722;99.891;42.821;36.999;64.708;3.911;0.785;0.482;1.476;0.043;2.738;102.629;100.231;33.139;0.194;0.187;0.194;0.003;0.555;14.789;0.444;0;2;41.144;41.147;0.330000;52.980000;0.996592;24440;1;0;0;0;0;0;0
49;1;1;1;IDLE;0.000;0.000;1.000;3282.812692;3282.815496;3282.859896;3282.914951;780468;780468;780468;9756;19;12487488;12487528;100.000;1481.594;1481.594;5.932;6.504;2997.007;3.580;6.049;3.619;6.541;19.063;0.002;38.852;29.184;91.027;99.455;44.400;39.065;65.729;3.880;0.776;0.452;1.398;0.035;2.804;102.259;99.855;33.392;0.059;0.179;0.059;0.003;0.695;15.147;0.454;0;2;41.157;41.159;0.330000;53.010000;0.997190;24628;1;0;0;0;0;0;0
