frame_id;selected;tx_complete;current_skip;last_control_frame;temporal_control_ms;camera_send_timestamp;tx_start_timestamp;inter_departure_ms;tx_points;tx_packets;payload_bytes;reference_size_bytes;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;disk_io_ms;serialization_ms;tx_duration_ms;active_tx_ms;active_process_ms;total_residency_ms;node_efficiency_pct;reference_efficiency_pct;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
250;1;1;1;0;0.000;2653.970143;2653.972380;124.503;820584;10258;13129344;13129344;1930.087;1930.087;3151.052;3352.920;3151.052;115.494;2.238;6.802;2.155;124.534;124.534;100.000;98.203;1367;0;1367;43394;0
251;1;1;1;0;0.000;2654.090622;2654.092926;120.546;817535;10220;13080560;13080560;1867.518;1867.518;3139.344;3340.464;3139.344;111.438;2.304;7.004;2.221;120.746;120.747;100.000;98.092;1947;0;1947;61724;0
252;1;1;1;0;0.000;2654.223259;2654.225528;132.602;812707;10159;13003312;13003312;1855.941;1855.941;3120.804;3320.724;3120.804;123.327;2.269;7.006;2.084;132.603;132.603;100.000;98.288;582;0;582;18165;0
253;1;1;1;0;0.000;2654.359943;2654.362182;136.654;811017;10138;12976272;12976272;1848.097;1848.097;3114.315;3313.821;3114.315;127.407;2.239;7.021;2.228;136.668;136.668;100.000;98.361;1836;0;1836;58614;0
254;1;1;1;0;0.000;2654.485946;2654.488148;125.966;812416;10156;12998656;12998656;1820.103;1820.103;3119.687;3319.548;3119.687;116.741;2.202;7.142;2.047;126.085;126.085;100.000;98.253;568;0;568;17596;0
255;1;1;1;0;0.000;2654.607135;2654.609440;121.292;815874;10199;13053984;13053984;1826.123;1826.123;3132.966;3333.672;3132.966;111.844;2.305;7.148;2.207;121.298;121.298;100.000;98.099;1721;0;1721;54865;0
256;1;1;1;0;0.000;2654.739807;2654.742007;132.567;811813;10148;12989008;12989008;1884.433;1884.433;3117.372;3317.075;3117.372;123.207;2.200;6.893;2.139;132.300;132.300;100.000;98.337;775;0;775;23932;0
257;1;1;1;0;0.000;2654.872632;2654.874824;132.817;809323;10117;12949168;12949168;1919.548;1919.548;3107.810;3306.903;3107.810;123.731;2.192;6.746;2.092;132.670;132.670;100.000;98.347;1757;0;1757;55360;0
258;1;1;1;0;0.000;2654.998287;2655.000553;125.728;806066;10076;12897056;12897056;1882.638;1882.638;3095.303;3293.589;3095.303;116.716;2.265;6.851;2.225;125.832;125.832;100.000;98.200;919;0;919;29320;0
259;1;1;1;0;0.000;2655.116427;2655.118641;118.089;803994;10050;12863904;12863904;1868.055;1868.055;3087.347;3285.121;3087.347;109.023;2.214;6.886;2.205;118.124;118.124;100.000;98.125;1808;0;1808;56896;0
260;1;1;1;0;0.000;2655.239209;2655.241629;122.988;804675;10059;12874800;12874800;1987.982;1987.982;3089.962;3287.913;3089.962;113.681;2.420;6.476;2.103;122.577;122.577;100.000;98.026;1312;0;1312;41396;0
261;1;1;1;0;0.000;2655.366396;2655.368619;126.990;803023;10038;12848368;12848368;1799.656;1799.656;3083.618;3281.156;3083.618;118.289;2.223;7.139;2.303;127.652;127.652;100.000;98.258;1492;0;1492;47534;0
262;1;1;1;0;0.000;2655.488976;2655.491500;122.881;804900;10062;12878400;12878400;1897.478;1897.478;3090.826;3288.836;3090.826;113.216;2.524;6.787;2.120;122.528;122.528;100.000;97.939;1251;0;1251;39564;0
263;1;1;1;0;0.000;2655.608208;2655.610520;119.019;801032;10013;12816512;12816512;1903.449;1903.449;3075.972;3273.019;3075.972;109.919;2.312;6.733;2.216;118.964;118.964;100.000;98.057;1262;0;1262;40321;0
264;1;1;1;0;0.000;2655.733430;2655.735594;125.075;793638;9921;12698208;12698208;1848.797;1848.797;3047.580;3242.815;3047.580;116.176;2.164;6.868;2.140;125.208;125.209;100.000;98.271;1715;0;1715;53857;0
265;1;1;1;0;0.000;2655.854015;2655.856251;120.656;801156;10015;12818496;12818496;1973.869;1973.869;3076.449;3273.534;3076.449;111.551;2.235;6.494;2.044;120.281;120.281;100.000;98.142;1227;0;1227;39242;0
266;1;1;1;0;0.000;2655.972191;2655.974400;118.150;804749;10060;12875984;12875984;1859.897;1859.897;3090.246;3288.217;3090.246;109.445;2.209;6.923;2.238;118.577;118.578;99.999;98.137;1548;0;1548;48996;0
267;1;1;1;0;0.000;2656.097395;2656.099918;125.517;805449;10069;12887184;12887184;1927.082;1927.082;3092.934;3291.082;3092.934;116.070;2.523;6.687;2.188;125.281;125.281;100.000;97.986;1102;0;1102;34989;0
268;1;1;1;0;0.000;2656.218258;2656.220494;120.576;805329;10067;12885264;12885264;1857.440;1857.440;3092.473;3290.582;3092.473;111.652;2.236;6.937;2.166;120.825;120.825;100.000;98.149;1718;0;1718;54664;0
269;1;1;1;0;0.000;2656.416918;2656.419099;198.605;805419;10068;12886704;12886704;2036.096;2036.096;3092.819;3290.947;3092.819;189.486;2.180;6.329;2.068;197.995;197.996;100.000;98.899;1668;0;1668;53100;0
270;1;1;1;0;0.000;2656.541344;2656.543710;124.611;804474;10056;12871584;12871584;1811.832;1811.832;3089.190;3287.082;3089.190;115.915;2.366;7.104;2.229;125.385;125.385;100.000;98.113;1382;0;1382;44224;0
271;1;1;1;0;0.000;2656.678404;2656.680564;136.854;796101;9952;12737616;12737616;2021.050;2021.050;3057.037;3252.883;3057.037;127.588;2.160;6.302;2.105;136.051;136.051;100.000;98.412;1497;0;1497;47904;0
272;1;1;1;0;0.000;2656.816034;2656.818208;137.644;805073;10064;12881168;12881168;1935.026;1935.026;3091.490;3289.540;3091.490;129.166;2.174;6.657;2.134;137.997;137.998;100.000;98.424;2070;0;2070;60816;0
273;1;1;1;0;0.000;2656.947330;2656.949570;131.361;797204;9966;12755264;12755264;1871.850;1871.850;3061.273;3257.394;3061.273;122.464;2.239;6.814;2.202;131.518;131.518;100.000;98.297;729;0;729;22860;0
274;1;1;1;0;0.000;2657.066563;2657.068797;119.228;805139;10065;12882224;12882224;1978.053;1978.053;3091.743;3289.813;3091.743;110.178;2.234;6.513;2.107;118.925;118.925;100.000;98.121;1601;0;1601;50857;0
275;1;1;1;0;0.000;2657.188167;2657.190410;121.613;808073;10101;12929168;12929168;1803.088;1803.088;3103.010;3301.788;3103.010;112.856;2.243;7.171;2.212;122.269;122.270;99.999;98.165;1328;0;1328;42221;0
276;1;1;1;0;0.000;2657.318719;2657.320928;130.518;813584;10170;13017344;13017344;1896.834;1896.834;3124.172;3324.308;3124.172;121.124;2.208;6.863;2.130;130.195;130.195;100.000;98.304;1160;0;1160;37018;0
277;1;1;1;0;0.000;2657.452319;2657.454512;133.585;812306;10154;12996896;12996896;1799.159;1799.159;3119.265;3319.086;3119.265;124.527;2.194;7.224;2.289;133.944;133.945;100.000;98.362;1474;0;1474;46508;0
278;1;1;1;0;0.000;2657.581719;2657.584014;129.501;817500;10219;13080000;13080000;2019.260;2019.260;3139.210;3340.310;3139.210;119.982;2.294;6.478;2.118;128.754;128.754;100.000;98.218;1852;0;1852;58697;0
279;1;1;1;0;0.000;2657.709509;2657.711827;127.814;824803;10311;13196848;13196848;1806.287;1806.287;3167.253;3370.164;3167.253;119.016;2.318;7.306;2.399;128.640;128.640;100.000;98.198;1432;0;1432;45049;0
280;1;1;1;0;0.000;2657.850010;2657.852297;140.470;813944;10175;13023104;13023104;2021.097;2021.097;3125.555;3325.789;3125.555;130.876;2.286;6.444;2.113;139.606;139.607;99.999;98.362;1717;0;1717;54922;0
281;1;1;1;0;0.000;2657.974080;2657.976572;124.274;815307;10192;13044912;13044912;1904.366;1904.366;3130.788;3331.357;3130.788;115.338;2.492;6.850;2.245;124.680;124.680;100.000;98.001;2077;0;2077;66048;0
282;1;1;1;0;0.000;2658.097751;2658.100016;123.444;816329;10205;13061264;13061264;1888.931;1888.931;3134.713;3335.538;3134.713;114.328;2.265;6.915;2.050;123.508;123.508;100.000;98.166;988;0;988;31553;0
283;1;1;1;0;0.000;2658.217612;2658.219926;119.910;813249;10166;13011984;13011984;1734.173;1734.173;3122.886;3322.943;3122.886;110.681;2.314;7.503;2.240;120.498;120.498;100.000;98.080;1050;0;1050;33360;0
284;1;1;1;0;0.000;2658.339604;2658.341828;121.902;809333;10117;12949328;12949328;1862.152;1862.152;3107.848;3306.941;3107.848;112.174;2.223;6.954;2.127;121.352;121.352;100.000;98.167;812;0;812;25147;0
285;1;1;1;0;0.000;2658.468520;2658.470734;128.906;815482;10194;13047712;13047712;1927.969;1927.969;3131.460;3332.069;3131.460;119.736;2.213;6.768;2.194;128.717;128.718;99.999;98.280;2124;0;2124;67604;0
286;1;1;1;0;0.000;2658.586421;2658.588656;117.923;814633;10183;13034128;13034128;1935.284;1935.284;3128.200;3328.592;3128.200;108.919;2.235;6.735;2.126;117.889;117.890;100.000;98.104;1522;0;1522;47879;0
287;1;1;1;0;0.000;2658.712907;2658.715129;126.473;814941;10187;13039056;13039056;1782.355;1782.355;3129.383;3329.854;3129.383;117.514;2.222;7.316;2.141;127.052;127.053;100.000;98.251;955;0;955;29951;0
288;1;1;1;0;0.000;2658.845292;2658.847519;132.390;818847;10236;13101552;13101552;2008.882;2008.882;3144.382;3345.817;3144.382;122.847;2.226;6.522;2.081;131.595;131.595;100.000;98.308;1666;0;1666;53224;0
289;1;1;1;0;0.000;2658.983756;2658.985983;138.464;824052;10301;13184832;13184832;1898.977;1898.977;3164.369;3367.083;3164.369;129.714;2.227;6.943;2.309;138.885;138.885;100.000;98.396;2170;0;2170;69377;0
290;1;1;1;0;0.000;2659.117923;2659.120278;134.295;835458;10444;13367328;13367328;1999.933;1999.933;3208.168;3413.697;3208.168;124.996;2.355;6.684;2.193;134.035;134.035;100.000;98.243;1996;0;1996;63312;0
