frame_id;selected;tx_complete;current_skip;last_control_frame;temporal_control_ms;camera_send_timestamp;tx_start_timestamp;inter_departure_ms;tx_points;tx_packets;payload_bytes;reference_size_bytes;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;disk_io_ms;serialization_ms;tx_duration_ms;active_tx_ms;active_process_ms;total_residency_ms;node_efficiency_pct;reference_efficiency_pct;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
27;1;1;1;0;0.000;7548.015973;7548.019780;34.697;780025;9751;12480400;12480400;1166.435;1166.435;2995.306;3187.196;2995.306;3.038;3.806;10.700;3.282;17.544;17.544;99.999;78.302;216;0;216;6777;0
28;1;1;1;0;0.000;7548.051612;7548.056423;36.643;780373;9755;12485968;12485968;1282.970;1282.970;2996.642;3188.611;2996.642;5.343;4.811;9.732;2.887;19.886;19.886;99.999;75.807;0;0;0;0;0
29;1;1;1;0;0.000;7548.084119;7548.087889;31.465;781651;9771;12506416;12506416;1126.234;1126.234;3001.549;3193.833;3001.549;4.516;3.770;11.105;3.067;19.391;19.391;99.997;80.555;1435;0;1435;45227;0
30;1;1;1;0;0.000;7548.116033;7548.118514;30.625;781375;9768;12502000;12502000;1086.446;1086.446;3000.490;3192.714;3000.490;3.097;2.480;11.507;3.314;17.085;17.085;99.997;85.480;919;0;919;28544;0
31;1;1;1;0;0.000;7548.149482;7548.153677;35.163;784392;9805;12550272;12550272;1133.843;1133.843;3012.075;3205.028;3012.075;3.213;4.195;11.069;3.277;18.476;18.476;99.998;77.296;508;0;508;15610;0
32;1;1;1;0;0.000;7548.184914;7548.188759;35.082;782671;9784;12522736;12522736;1114.583;1114.583;3005.466;3198.006;3005.466;5.311;3.845;11.235;3.098;20.391;20.392;99.997;81.143;1460;0;1460;46528;0
33;1;1;1;0;0.000;7548.215784;7548.218038;29.279;776999;9713;12431984;12431984;1090.750;1090.750;2983.686;3174.828;2983.686;2.849;2.253;11.398;2.975;16.500;16.500;99.999;86.342;1781;0;1781;56437;0
34;1;1;1;0;0.000;7548.250117;7548.253046;35.008;778650;9734;12458400;12458400;1085.969;1085.969;2990.026;3181.581;2990.026;3.845;2.929;11.472;3.256;18.246;18.247;99.997;83.945;677;0;677;20676;0
35;1;1;1;0;0.000;7548.283319;7548.287492;34.446;778007;9726;12448112;12448112;1078.285;1078.285;2987.556;3178.955;2987.556;3.716;4.173;11.544;3.287;19.434;19.434;99.998;78.525;1797;0;1797;57462;0
36;1;1;1;0;0.000;7548.315911;7548.318208;30.716;776483;9707;12423728;12423728;1087.675;1087.675;2981.704;3172.728;2981.704;2.975;2.296;11.422;3.015;16.694;16.694;99.999;86.244;1755;0;1755;55425;0
37;1;1;1;0;0.000;7548.349574;7548.352904;34.697;781287;9767;12500592;12500592;1155.740;1155.740;3000.152;3192.357;3000.152;3.303;3.330;10.816;3.256;17.449;17.449;99.999;80.915;0;0;0;0;0
38;1;1;1;0;0.000;7548.383197;7548.385534;32.630;780329;9755;12485264;12485264;1037.265;1037.265;2996.473;3188.442;2996.473;3.593;2.337;12.037;3.103;17.967;17.967;99.997;86.990;1754;0;1754;55993;0
39;1;1;1;0;0.000;7548.416485;7548.418871;33.337;780785;9760;12492560;12492560;994.882;994.882;2998.224;3190.291;2998.224;3.549;2.387;12.557;3.248;18.492;18.492;99.998;87.092;2515;0;2515;80480;0
40;1;1;1;0;0.000;7548.449816;7548.452169;33.297;785430;9818;12566880;12566880;1029.883;1029.883;3016.061;3209.269;3016.061;3.547;2.353;12.202;3.202;18.102;18.102;99.999;87.002;1242;0;1242;39498;0
41;1;1;1;0;0.000;7548.482515;7548.484878;32.710;789479;9869;12631664;12631664;1034.488;1034.488;3031.609;3225.821;3031.609;2.913;2.363;12.211;3.175;17.486;17.487;99.998;86.485;2411;0;2411;76468;0
42;1;1;1;0;0.000;7548.516597;7548.519016;34.137;789348;9867;12629568;12629568;1052.523;1052.523;3031.106;3225.279;3031.106;3.661;2.419;11.999;3.554;18.079;18.079;99.999;86.621;1765;0;1765;55745;0
43;1;1;1;0;0.000;7548.549783;7548.552150;33.134;792714;9909;12683424;12683424;1027.303;1027.303;3044.031;3239.031;3044.031;3.513;2.367;12.346;3.333;18.227;18.227;99.998;87.012;2129;0;2129;67820;0
44;1;1;1;0;0.000;7548.583220;7548.585563;33.413;790865;9886;12653840;12653840;999.967;999.967;3036.931;3231.478;3036.931;3.617;2.344;12.654;3.442;18.615;18.615;99.998;87.409;2687;0;2687;85936;0
45;1;1;1;0;0.000;7548.616749;7548.619324;33.761;787976;9850;12607616;12607616;1005.600;1005.600;3025.837;3219.676;3025.837;3.813;2.575;12.537;3.580;18.925;18.925;99.999;86.393;1395;0;1395;44490;0
46;1;1;1;0;0.000;7548.649008;7548.651317;31.992;789717;9872;12635472;12635472;1104.085;1104.085;3032.523;3226.794;3032.523;2.739;2.309;11.444;3.154;16.492;16.492;99.998;85.997;2198;0;2198;69664;0
47;1;1;1;0;0.000;7548.683305;7548.686699;35.382;784950;9812;12559200;12559200;1090.327;1090.327;3014.218;3207.308;3014.218;3.702;3.394;11.519;3.188;18.615;18.615;99.998;81.768;0;0;0;0;0
48;1;1;1;0;0.000;7548.716505;7548.720615;33.916;781130;9765;12498080;12498080;1102.004;1102.004;2999.549;3191.714;2999.549;3.569;4.110;11.341;3.397;19.020;19.020;99.998;78.390;1251;0;1251;39006;0
49;1;1;1;0;0.000;7548.750249;7548.753904;33.289;780468;9756;12487488;12487488;1144.260;1144.260;2997.007;3188.995;2997.007;3.980;3.655;10.913;3.165;18.548;18.548;99.999;80.294;2117;0;2117;67656;0
50;1;1;1;0;0.000;7548.782928;7548.786067;32.162;783376;9793;12534016;12534016;1080.430;1080.430;3008.173;3200.890;3008.173;3.326;3.138;11.601;3.320;18.065;18.065;99.998;82.628;476;0;476;14023;0
51;1;1;1;0;0.000;7548.816216;7548.818749;32.683;787237;9841;12595792;12595792;1019.456;1019.456;3023.000;3216.661;3023.000;3.280;2.533;12.355;3.283;18.169;18.169;99.999;86.057;2338;0;2338;74246;0
52;1;1;1;0;0.000;7548.850014;7548.852472;33.723;787734;9847;12603744;12603744;1026.606;1026.606;3024.908;3218.688;3024.908;3.744;2.458;12.277;3.189;18.480;18.480;99.998;86.695;1893;0;1893;60333;0
53;1;1;1;0;0.000;7548.883163;7548.885528;33.056;787059;9839;12592944;12592944;996.881;996.881;3022.316;3215.938;3022.316;3.561;2.365;12.632;3.338;18.558;18.558;99.998;87.257;1639;0;1639;51717;0
54;1;1;1;0;0.000;7548.916169;7548.918531;33.003;786051;9826;12576816;12576816;1058.682;1058.682;3018.445;3211.812;3018.445;3.233;2.362;11.880;3.122;17.475;17.475;99.999;86.482;2290;0;2290;71120;0
55;1;1;1;0;0.000;7548.949781;7548.952190;33.659;796213;9953;12739408;12739408;1027.296;1027.296;3057.468;3253.333;3057.468;3.512;2.409;12.401;3.302;18.322;18.322;99.998;86.849;2108;0;2108;65627;0
56;1;1;1;0;0.000;7548.983317;7548.986050;33.859;790191;9878;12643056;12643056;989.118;989.118;3034.343;3228.732;3034.343;3.714;2.733;12.782;3.634;19.229;19.229;99.999;85.787;2133;0;2133;67996;0
57;1;1;1;0;0.000;7549.015611;7549.018097;32.048;798808;9986;12780928;12780928;1135.309;1135.309;3067.432;3263.947;3067.432;2.676;2.486;11.258;3.057;16.419;16.419;99.997;84.858;1537;0;1537;47324;0
