frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
243;1;1;1;6064.492112;6064.595611;6064.628442;809086;0;0;19928;19928;16;16;19928;20016;100.000;0.610;0.610;4.804;5.282;4.804;32.828;0.011;0.013;32.876;0.045;32.831;0.039;99.864;103.499;35.195;0.830;0.871;0;0;0;0;0;0;0;0
244;1;1;1;6064.525502;6064.628487;6064.662885;804105;0;0;21996;21996;17;17;21996;22084;100.000;0.642;0.642;5.300;5.809;5.300;34.395;0.010;0.012;34.443;0.045;34.398;0.033;99.869;102.985;36.305;0.457;0.845;0;0;0;0;0;0;0;0
245;1;1;1;6064.558946;6064.662979;6064.695046;810243;0;0;24440;24440;19;19;24440;24528;100.000;0.765;0.765;5.887;6.458;5.887;32.064;0.014;0.016;32.160;0.093;32.067;0.051;99.709;104.033;35.132;1.158;0.865;0;0;0;0;0;0;0;0
246;1;1;1;6064.591954;6064.695112;6064.731322;808451;0;0;27260;27260;21;21;27260;27348;100.000;0.755;0.755;6.564;7.198;6.564;36.207;0.011;0.012;36.276;0.066;36.210;0.034;99.818;103.158;38.075;1.200;0.886;0;0;0;0;0;0;0;0
247;1;1;1;6064.625436;6064.731404;6064.762784;818595;0;0;29140;29140;23;23;29140;29228;100.000;0.932;0.931;7.015;7.711;7.015;31.343;0.016;0.017;31.462;0.083;31.379;0.055;99.738;105.968;36.203;2.959;1.015;0;0;0;0;0;0;0;0
248;1;1;1;6064.658647;6064.762838;6064.796337;813416;0;0;29140;29140;23;23;29140;29228;100.000;0.873;0.872;7.015;7.711;7.015;33.496;0.009;0.010;33.554;0.055;33.499;0.029;99.837;104.191;36.424;1.899;1.071;0;0;0;0;0;0;0;0
249;1;1;1;6064.692171;6064.796449;6064.827929;816251;0;0;29704;29704;23;23;29704;29792;100.000;0.947;0.946;7.150;7.847;7.150;31.477;0.016;0.017;31.591;0.112;31.480;0.055;99.646;104.279;34.682;0.278;1.021;0;0;0;0;0;0;0;0
250;1;1;1;6064.725706;6064.827987;6064.862097;820584;0;0;28388;28388;22;22;28388;28476;100.000;0.835;0.835;6.834;7.500;6.834;34.106;0.014;0.016;34.168;0.059;34.110;0.047;99.829;102.281;35.517;1.795;1.069;0;0;0;0;0;0;0;0
251;1;1;1;6064.759196;6064.862147;6064.894966;817535;0;0;26884;26884;21;21;26884;26972;100.000;0.822;0.822;6.473;7.107;6.473;32.816;0.011;0.013;32.869;0.050;32.819;0.040;99.849;102.950;35.053;0.826;1.054;0;0;0;0;0;0;0;0
252;1;1;1;6064.792087;6064.895023;6064.929698;812707;0;0;28576;28576;22;22;28576;28664;100.000;0.827;0.827;6.879;7.545;6.879;34.672;0.010;0.012;34.731;0.057;34.675;0.034;99.837;102.936;36.451;0.457;1.017;0;0;0;0;0;0;0;0
253;1;1;1;6064.825772;6064.929785;6064.961212;811017;0;0;29328;29328;23;23;29328;29416;100.000;0.936;0.936;7.060;7.756;7.060;31.368;0.016;0.017;31.515;0.088;31.427;0.055;99.722;104.013;34.632;1.429;1.043;0;0;0;0;0;0;0;0
254;1;1;1;6064.858803;6064.961277;6064.995599;812416;0;0;28012;28012;22;22;28012;28100;100.000;0.819;0.819;6.744;7.409;6.744;34.318;0.011;0.012;34.387;0.065;34.321;0.036;99.810;102.474;35.685;1.841;1.093;0;0;0;0;0;0;0;0
255;1;1;1;6064.892520;6064.995647;6065.028313;815874;0;0;28012;28012;22;22;28012;28100;100.000;0.860;0.860;6.744;7.409;6.744;32.663;0.013;0.015;32.714;0.049;32.666;0.045;99.852;103.127;35.066;1.037;1.089;0;0;0;0;0;0;0;0
256;1;1;1;6064.925398;6065.028402;6065.062408;811813;0;0;137616;137616;105;105;137616;137704;100.000;4.051;4.049;33.049;36.304;33.049;34.003;0.055;0.060;34.095;0.089;34.006;0.175;99.738;103.004;35.828;0.578;1.057;0;0;0;0;0;0;0;0
