frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;reference_efficiency_pct;camera_node_ms;schedule_delay_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
133;1;1;1;3275.876025;3276.110378;3276.112541;787265;143954;143954;0;0;1800;1800;2303264;2303316;100.000;1066.010;1064.799;552.796;596.847;552.796;2.160;0.804;0.846;41.789;39.626;2.163;39.119;5.176;234.353;5.428;7.383;3.835;0;0;0;0;0;0;0;0
134;1;1;1;3275.910527;3276.138574;3276.139930;787734;143904;143904;0;0;1799;1799;2302464;2302516;100.000;1699.825;1697.415;552.604;596.631;552.604;1.353;0.560;0.598;27.389;26.032;1.356;44.087;4.953;228.047;-0.517;5.138;3.917;0;0;0;0;0;0;0;0
135;1;1;1;3275.944187;3276.170693;3276.171619;786766;143596;143596;0;0;1795;1795;2297536;2297588;100.000;2481.501;2479.543;551.421;595.350;551.421;0.923;0.478;0.514;31.689;30.763;0.927;55.471;2.924;226.506;-2.161;1.214;3.748;0;0;0;0;0;0;0;0
136;1;1;1;3275.975172;3276.209425;3276.211249;787622;141136;141136;0;0;1765;1765;2258176;2258228;100.000;1239.687;1238.353;541.975;585.169;541.975;1.819;0.576;0.614;39.630;37.806;1.824;33.650;4.602;234.254;4.135;5.400;3.851;0;0;0;0;0;0;0;0
137;1;1;1;3276.011016;3276.242804;3276.244407;784509;139854;139854;0;0;1749;1749;2237664;2237716;100.000;1402.248;1396.100;537.052;579.855;537.052;1.598;0.716;0.753;33.158;31.555;1.603;47.001;4.834;231.788;3.960;0.045;3.613;0;0;0;0;0;0;0;0
138;1;1;1;3276.042449;3276.271880;3276.273262;782962;141162;141162;0;0;1765;1765;2258592;2258644;100.000;1636.748;1634.811;542.075;585.269;542.075;1.378;0.530;0.567;28.854;27.473;1.382;41.032;4.788;229.431;-0.519;4.258;3.654;0;0;0;0;0;0;0;0
139;1;1;1;3276.074990;3276.305306;3276.306498;785441;143262;143262;0;0;1791;1791;2292192;2292244;100.000;1935.292;1923.035;550.139;593.970;550.139;1.188;0.532;0.570;33.237;32.045;1.192;47.829;3.586;230.317;-0.615;0.093;3.431;0;0;0;0;0;0;0;0
140;1;1;1;3276.111508;3276.343364;3276.345064;786857;145806;145806;0;0;1823;1823;2332896;2332948;100.000;1378.760;1372.003;559.908;604.522;559.908;1.688;0.571;0.608;38.566;36.865;1.700;35.762;4.409;231.856;4.617;4.724;3.512;0;0;0;0;0;0;0;0
141;1;1;1;3276.142228;3276.378812;3276.380706;786209;147146;147146;0;0;1840;1840;2354336;2354388;100.000;1247.447;1242.905;565.053;610.084;565.053;1.890;0.822;0.868;35.642;33.748;1.894;45.811;5.315;236.584;6.925;2.115;3.424;0;0;0;0;0;0;0;0
142;1;1;1;3276.174946;3276.405269;3276.407056;785895;147490;147490;0;0;1844;1844;2359840;2359892;100.000;1325.144;1320.944;566.374;611.503;566.374;1.783;0.570;0.608;26.350;24.563;1.787;34.033;6.780;230.324;-0.058;6.876;3.640;0;0;0;0;0;0;0;0
143;1;1;1;3276.208936;3276.439255;3276.440332;783109;146146;146146;0;0;1827;1827;2338336;2338388;100.000;2176.103;2173.128;561.213;605.926;561.213;1.072;0.540;0.576;33.276;32.200;1.076;53.566;3.234;230.320;-0.116;0.653;3.453;0;0;0;0;0;0;0;0
144;1;1;1;3276.244441;3276.475527;3276.476778;783994;145218;145218;0;0;1816;1816;2323488;2323540;100.000;1867.325;1857.264;557.650;602.093;557.650;1.246;0.563;0.608;36.446;35.195;1.251;48.625;3.433;231.086;2.997;2.938;3.421;0;0;0;0;0;0;0;0
145;1;1;1;3276.276067;3276.510097;3276.512542;785959;144768;144768;0;0;1810;1810;2316288;2316340;100.000;952.123;947.434;555.922;600.218;555.922;2.440;0.903;0.945;35.764;33.319;2.445;38.639;6.836;234.030;5.428;1.237;3.285;0;0;0;0;0;0;0;0
146;1;1;1;3276.308755;3276.540864;3276.542255;789030;145716;145716;0;0;1822;1822;2331456;2331508;100.000;1686.043;1675.936;559.562;604.152;559.562;1.387;0.569;0.608;29.713;28.322;1.391;43.673;4.682;232.109;1.808;2.567;3.240;0;0;0;0;0;0;0;0
147;1;1;1;3276.342625;3276.571160;3276.572694;794594;147238;147238;0;0;1841;1841;2355808;2355860;100.000;1541.016;1536.321;565.406;610.462;565.406;1.530;0.497;0.533;30.439;28.906;1.533;34.789;5.038;228.536;-1.087;3.036;3.227;0;0;0;0;0;0;0;0
148;1;1;1;3276.377021;3276.610257;3276.611559;797998;146864;146864;0;0;1836;1836;2349824;2349876;100.000;1810.127;1805.883;563.970;608.903;563.970;1.295;0.612;0.652;38.865;37.564;1.301;50.090;3.348;233.237;4.445;5.764;3.386;0;0;0;0;0;0;0;0
149;1;1;1;3276.409132;3276.644069;3276.646605;798639;147738;147738;0;0;1847;1847;2363808;2363860;100.000;935.151;932.393;567.326;612.528;567.326;2.531;0.859;0.907;35.046;32.511;2.535;35.773;7.234;234.938;6.157;0.479;3.204;0;0;0;0;0;0;0;0
150;1;1;1;3276.442025;3276.673846;3276.675272;796693;148090;148090;0;0;1852;1852;2369440;2369492;100.000;1669.925;1662.218;568.678;614.003;568.678;1.421;0.609;0.648;28.667;27.242;1.425;45.461;4.973;231.822;1.491;3.556;3.226;0;0;0;0;0;0;0;0
151;1;1;1;3276.475733;3276.704287;3276.705769;794717;147952;147952;0;0;1850;1850;2367232;2367284;100.000;1603.790;1597.074;568.148;613.424;568.148;1.479;0.455;0.491;30.497;29.015;1.482;33.125;4.860;228.553;-1.345;2.893;3.205;0;0;0;0;0;0;0;0
152;1;1;1;3276.511182;3276.743261;3276.744423;792861;148152;148152;0;0;1852;1852;2370432;2370484;100.000;2052.798;2040.344;568.916;614.241;568.916;1.151;0.586;0.630;38.654;37.492;1.162;54.256;3.006;232.080;3.976;5.641;3.357;0;0;0;0;0;0;0;0
153;1;1;1;3276.542530;3276.774220;3276.775741;792789;147662;147662;0;0;1846;1846;2362592;2362644;100.000;1560.496;1553.421;567.035;612.212;567.035;1.517;0.736;0.773;31.318;29.797;1.521;50.853;4.856;231.690;1.961;2.374;3.296;0;0;0;0;0;0;0;0
154;1;1;1;3276.575233;3276.806682;3276.808430;792309;147945;147945;0;0;1850;1850;2367120;2367172;100.000;1367.618;1354.461;568.121;613.397;568.121;1.744;0.715;0.752;32.689;30.941;1.748;43.011;5.346;231.450;1.316;0.871;3.144;0;0;0;0;0;0;0;0
155;1;1;1;3276.609101;3276.837873;3276.839010;791925;147762;147762;0;0;1848;1848;2364192;2364244;100.000;2091.052;2079.738;567.419;612.645;567.419;1.133;0.484;0.520;30.580;29.443;1.137;45.786;3.717;228.772;-1.437;2.142;3.082;0;0;0;0;0;0;0;0
156;1;1;1;3276.644264;3276.877399;3276.879150;793795;148592;148592;0;0;1858;1858;2377472;2377524;100.000;1358.450;1357.839;570.606;616.077;570.606;1.744;0.692;0.747;40.140;38.389;1.751;42.689;4.362;233.135;5.370;6.193;3.276;0;0;0;0;0;0;0;0
157;1;1;1;3276.676416;3276.909614;3276.911425;793460;148650;148650;0;0;1859;1859;2378400;2378452;100.000;1314.011;1313.328;570.828;616.324;570.828;1.794;0.758;0.798;32.274;30.463;1.811;44.082;5.611;233.197;4.311;1.119;3.141;0;0;0;0;0;0;0;0
158;1;1;1;3276.708322;3276.938537;3276.940207;795527;147554;147554;0;0;1845;1845;2360864;2360916;100.000;1419.058;1414.107;566.620;611.773;566.620;1.666;0.618;0.656;28.782;27.113;1.670;39.271;5.801;230.215;-0.240;4.410;3.221;0;0;0;0;0;0;0;0
159;1;1;1;3276.742501;3276.973795;3276.975067;798776;146024;146024;0;0;1826;1826;2336384;2336436;100.000;1838.484;1837.438;560.745;605.433;560.745;1.267;0.575;0.613;34.860;33.589;1.272;48.170;3.648;231.294;1.287;1.925;3.140;0;0;0;0;0;0;0;0
160;1;1;1;3276.776727;3277.009591;3277.011102;799362;143192;143192;0;0;1790;1790;2291072;2291124;100.000;1523.127;1516.312;549.870;593.676;549.870;1.507;0.585;0.621;36.035;34.524;1.511;41.077;4.193;232.864;3.988;2.462;3.097;0;0;0;0;0;0;0;0
161;1;1;1;3276.809767;3277.043534;3277.045461;789777;141480;141480;0;0;1769;1769;2263680;2263732;100.000;1177.462;1174.880;543.296;586.588;543.296;1.923;0.860;0.901;34.359;32.432;1.927;46.754;5.608;233.767;5.014;0.610;2.942;0;0;0;0;0;0;0;0
162;1;1;1;3276.841682;3277.071362;3277.072441;790930;139820;139820;0;0;1748;1748;2237120;2237172;100.000;2082.392;2072.138;536.921;579.700;536.921;1.076;0.549;0.586;26.981;25.901;1.080;54.285;4.002;229.680;-1.339;5.506;3.102;0;0;0;0;0;0;0;0
163;1;1;1;3276.876801;3277.103521;3277.105086;793734;138532;138532;0;0;1732;1732;2216512;2216564;100.000;1417.655;1416.717;531.975;574.362;531.975;1.561;0.527;0.565;32.644;31.080;1.565;36.117;4.793;226.721;-2.028;1.174;2.982;0;0;0;0;0;0;0;0
164;1;1;1;3276.910662;3277.143862;3277.145186;792883;138018;138018;0;0;1726;1726;2208288;2208340;100.000;1681.610;1667.958;530.002;572.242;530.002;1.319;0.568;0.602;40.101;38.777;1.324;45.491;3.302;233.201;4.739;7.008;3.233;0;0;0;0;0;0;0;0
165;1;1;1;3276.943016;3277.174484;3277.176546;791299;138142;138142;0;0;1727;1727;2210272;2210324;100.000;1077.577;1071.987;530.478;572.742;530.478;2.057;0.707;0.743;31.360;29.298;2.062;36.028;6.575;231.468;2.766;2.711;3.201;0;0;0;0;0;0;0;0
166;1;1;1;3276.975715;3277.205133;3277.206063;789485;138460;138460;0;0;1731;1731;2215360;2215412;100.000;2386.842;2384.223;531.699;574.061;531.699;0.926;0.515;0.550;29.516;28.587;0.929;59.137;3.148;229.418;-1.051;2.684;3.168;0;0;0;0;0;0;0;0
167;1;1;1;3277.009011;3277.238699;3277.240417;789977;138716;138716;0;0;1734;1734;2219456;2219508;100.000;1293.633;1291.943;532.682;575.118;532.682;1.715;0.499;0.535;34.354;32.636;1.718;31.138;5.001;229.688;-0.030;0.232;2.985;0;0;0;0;0;0;0;0
168;1;1;1;3277.044235;3277.275103;3277.276226;791598;139622;139622;0;0;1746;1746;2233952;2234004;100.000;2002.824;1990.109;536.161;578.891;536.161;1.119;0.556;0.592;35.809;34.686;1.123;52.727;3.135;230.868;2.445;3.071;2.990;0;0;0;0;0;0;0;0
169;1;1;1;3277.076294;3277.314258;3277.316292;795034;139918;139918;0;0;1749;1749;2238688;2238740;100.000;1105.200;1101.093;537.298;580.101;537.298;2.030;0.626;0.663;40.066;38.033;2.033;32.599;5.075;237.964;9.178;5.822;3.167;0;0;0;0;0;0;0;0
170;1;1;1;3277.108657;3277.338834;3277.340407;794863;140286;140286;0;0;1754;1754;2244576;2244628;100.000;1433.062;1427.075;538.711;581.636;538.711;1.568;0.625;0.665;24.116;22.543;1.573;42.264;6.522;230.178;-0.040;8.757;3.517;0;0;0;0;0;0;0;0
171;1;1;1;3277.142572;3277.370341;3277.371447;794885;141226;141226;0;0;1766;1766;2259616;2259668;100.000;2047.548;2043.783;542.320;585.540;542.320;1.102;0.476;0.511;31.039;29.934;1.106;46.181;3.562;227.769;-2.334;1.827;3.411;0;0;0;0;0;0;0;0
172;1;1;1;3277.176784;3277.409855;3277.411530;788905;141276;141276;0;0;1766;1766;2260416;2260468;100.000;1351.462;1350.024;542.512;585.732;542.512;1.670;0.543;0.579;40.083;38.409;1.674;34.599;4.177;233.072;4.416;6.181;3.584;0;0;0;0;0;0;0;0
173;1;1;1;3277.209344;3277.443967;3277.446499;787376;140380;140380;0;0;1755;1755;2246080;2246132;100.000;891.910;887.409;539.072;582.022;539.072;2.502;1.285;1.348;34.969;32.438;2.531;53.260;7.238;234.624;6.051;0.779;3.409;0;0;0;0;0;0;0;0
174;1;1;1;3277.241995;3277.473270;3277.475110;791921;138596;138596;0;0;1733;1733;2217536;2217588;100.000;1206.509;1205.027;532.221;574.632;532.221;1.836;0.585;0.621;28.612;26.771;1.840;33.757;6.432;231.275;1.330;4.031;3.448;0;0;0;0;0;0;0;0
175;1;1;1;3277.275456;3277.505052;3277.506170;785044;137098;137098;0;0;1714;1714;2193568;2193620;100.000;1971.427;1962.744;526.469;568.415;526.469;1.114;0.503;0.539;31.059;29.942;1.118;48.217;3.598;229.596;-0.944;1.551;3.329;0;0;0;0;0;0;0;0
176;1;1;1;3277.311093;3277.544733;3277.545879;785759;136788;136788;0;0;1710;1710;2188608;2188660;100.000;1915.385;1909.892;525.278;567.127;525.278;1.141;0.489;0.524;39.710;38.564;1.146;45.713;2.886;233.640;5.432;6.348;3.518;0;0;0;0;0;0;0;0
177;1;1;1;3277.342552;3277.576592;3277.579181;782963;136884;136884;0;0;1712;1712;2190144;2190196;100.000;848.133;845.677;525.647;567.544;525.647;2.585;0.841;0.885;33.302;30.712;2.590;34.169;7.777;234.040;5.401;1.475;3.390;0;0;0;0;0;0;0;0
178;1;1;1;3277.374979;3277.609447;3277.610922;783666;138258;138258;0;0;1729;1729;2212128;2212180;100.000;1499.849;1499.308;530.923;573.237;530.923;1.470;0.683;0.719;31.741;30.265;1.475;48.723;4.648;234.468;3.808;0.478;3.208;0;0;0;0;0;0;0;0
179;1;1;1;3277.409138;3277.639497;3277.641108;786714;138600;138600;0;0;1733;1733;2217600;2217652;100.000;1378.443;1377.087;532.236;574.648;532.236;1.607;0.525;0.560;30.185;28.575;1.610;34.788;5.335;230.359;0.660;3.283;3.213;0;0;0;0;0;0;0;0
180;1;1;1;3277.444575;3277.680943;3277.682239;787583;139086;139086;0;0;1739;1739;2225376;2225428;100.000;1723.539;1717.680;534.103;576.661;534.103;1.292;0.608;0.647;41.132;39.836;1.296;49.909;3.150;236.368;8.459;8.113;3.519;0;0;0;0;0;0;0;0
181;1;1;1;3277.476302;3277.706202;3277.707557;793719;139098;139098;0;0;1739;1739;2225568;2225620;100.000;1646.530;1642.326;534.149;576.707;534.149;1.351;0.567;0.603;25.318;23.962;1.355;44.517;5.353;229.899;0.443;8.075;3.804;0;0;0;0;0;0;0;0
182;1;1;1;3277.508745;3277.737652;3277.739065;792329;139598;139598;0;0;1745;1745;2233568;2233620;100.000;1585.660;1580.636;536.069;578.774;536.069;1.409;0.525;0.563;31.509;30.096;1.413;39.807;4.485;228.907;-1.382;1.883;3.684;0;0;0;0;0;0;0;0
