frame_id;rx_complete;tx_complete;current_skip;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_media_bytes;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;arrived_points;eroded_points;valid_points;erosion_ms;reconstruction_ms;pose_ms;reconstruction_pipeline_ms;tx_duration_ms;active_tx_ms;active_process_ms;reference_process_ms;total_processing_ms;total_residency_ms;reference_residency_ms;node_efficiency_pct;reference_efficiency_pct;gpu_transfer_ms;gpu_copyback_ms;host_overhead_ms;camera_node_ms;e2e_latency_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;pose_control_ms;codec_queue_ms;frame_queue_ms;codec_backlog;decode_service_ms;decode_h265_ms;ffmpeg_write_calls;ffmpeg_write_failures;codec_queue_drops;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
13;1;1;1;0.000000;0.000000;1.000000;1807.936728;1808.007887;1808.134568;780926;26320;142868;20;1786;26320;28640;100.000;491.441;532.977;548.626;588.905;6.874;157559;150948;142868;0.183;0.110;0.067;1.967;1.291;0.078;37.605;36.247;126.637;126.681;125.373;29.685;28.911;1.369;0.185;0.055;71.159;197.840;136.150;32.869;0.464;0.617;0.000;0.044;0.000;18;34.347;123.360;2;0;0;0;0;0;0;0
14;1;1;1;0.000000;0.000000;1.000000;1807.970034;1808.040842;1808.167699;782770;26696;144928;21;1812;26696;29132;100.000;0.811;0.882;556.536;597.402;6.992;159221;152767;144928;0.183;0.109;0.069;2.155;1.509;0.424;36.384;34.806;126.793;126.857;125.328;28.681;27.772;1.361;0.189;0.245;70.809;197.665;135.947;32.955;0.378;0.602;0.000;0.063;0.000;20;32.719;123.108;2;0;0;0;0;0;0;0
15;1;1;1;0.000000;0.000000;1.000000;1808.003382;1808.073965;1808.200693;784474;27072;146044;21;1826;27072;29508;100.000;0.787;0.855;560.821;602.004;7.082;159870;153190;146044;0.185;0.108;0.066;2.546;1.236;0.072;36.659;35.358;126.701;126.728;125.476;28.927;28.179;1.358;0.189;0.641;70.583;197.311;135.608;33.123;0.210;0.578;0.000;0.027;0.000;10;32.877;122.901;3;0;0;0;0;0;0;0
16;1;1;1;0.000000;0.000000;1.000000;1808.036439;1808.108622;1808.234161;785193;131600;145822;100;1823;131600;143200;100.000;142.410;154.860;559.969;601.083;34.368;177968;156948;145822;0.183;0.109;0.065;3.200;1.259;0.069;37.245;35.922;125.475;125.539;124.264;29.668;28.908;1.354;0.190;1.301;72.183;197.722;135.743;34.656;1.323;0.624;0.000;0.064;0.000;30;32.786;120.997;7;0;0;0;0;0;0;0
17;1;1;1;0.000000;0.000000;1.000000;1808.069798;1808.141070;1808.267111;782720;28764;144126;22;1802;28764;31316;100.000;0.888;0.964;553.456;594.097;7.516;169048;155711;144126;0.181;0.106;0.066;3.026;1.382;0.321;37.406;35.959;125.986;126.041;124.642;29.678;28.849;1.354;0.187;1.131;71.272;197.313;135.360;32.449;0.884;0.641;0.000;0.054;0.000;21;32.999;121.560;2;0;0;0;0;0;0;0
18;1;1;1;0.000000;0.000000;1.000000;1808.102959;1808.173651;1808.298857;781613;23124;141930;18;1775;23124;25212;100.000;0.704;0.765;545.024;585.055;6.051;164438;152319;141930;0.184;0.105;0.065;2.419;1.110;0.059;36.152;34.977;125.161;125.207;124.081;28.874;28.189;1.826;0.185;0.054;70.691;195.898;133.772;32.580;0.753;0.648;0.000;0.046;0.000;16;32.623;121.615;3;0;0;0;0;0;0;0
19;1;1;1;0.000000;0.000000;1.000000;1808.136687;1808.206731;1808.332091;780006;22184;139740;17;1747;22184;24156;100.000;0.676;0.733;536.614;576.014;5.797;160724;150232;139740;0.228;0.110;0.068;2.994;1.264;0.298;36.750;35.419;125.321;125.360;124.080;29.316;28.545;1.383;0.181;1.025;70.044;195.404;133.673;33.080;0.253;0.623;0.000;0.039;0.000;16;32.492;121.035;2;0;0;0;0;0;0;0
20;1;1;1;0.000000;0.000000;1.000000;1808.169852;1808.239799;1808.365283;780302;22748;138346;18;1730;22748;24836;100.000;0.715;0.778;531.261;570.277;5.961;158111;148368;138346;0.194;0.109;0.067;2.857;1.046;0.056;37.448;36.335;125.456;125.483;124.421;29.843;29.203;1.421;0.179;0.887;69.948;195.431;133.531;33.068;0.265;0.601;0.000;0.027;0.000;9;33.544;121.536;4;0;0;0;0;0;0;0
21;1;1;1;0.000000;0.000000;1.000000;1808.203074;1808.271780;1808.399716;779066;24816;137844;19;1724;24816;27020;100.000;0.783;0.850;529.333;568.214;6.485;156169;147318;137844;0.193;0.110;0.069;4.518;1.337;0.294;38.332;36.926;127.911;127.936;126.582;29.962;29.172;1.631;1.200;1.316;68.705;196.641;134.631;31.980;1.353;0.648;0.000;0.025;0.000;13;32.477;122.037;3;0;0;0;0;0;0;0
22;1;1;1;0.000000;0.000000;1.000000;1808.236483;1808.303661;1808.432185;778280;25004;138092;19;1727;25004;27208;100.000;1112.002;1205.777;530.286;569.234;6.530;156257;148169;138092;0.230;0.110;0.067;3.002;1.055;0.057;38.322;37.200;128.496;128.524;127.453;29.817;29.187;1.409;0.179;1.008;67.178;195.702;133.767;31.881;1.452;0.698;0.000;0.028;0.000;19;34.264;124.421;1;0;0;0;0;0;0;0
