frame_id;selected;tx_complete;current_skip;last_control_frame;temporal_control_ms;camera_send_timestamp;tx_start_timestamp;inter_departure_ms;tx_points;tx_packets;payload_bytes;reference_size_bytes;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;disk_io_ms;serialization_ms;tx_duration_ms;active_tx_ms;active_process_ms;total_residency_ms;node_efficiency_pct;reference_efficiency_pct;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
26;1;1;1;0;0.000;2421.707422;2421.707422;33.334;779364;9743;12469824;12469824;2002.670;2002.670;2992.767;3184.500;2992.767;0.000;0.000;6.227;1.955;6.227;6.227;99.999;99.999;1302;0;1302;41154;0
27;1;1;1;0;0.000;2421.740755;2421.740755;33.333;780025;9751;12480400;12480400;1861.126;1861.126;2995.306;3187.196;2995.306;0.000;0.000;6.706;1.999;6.706;6.706;99.996;99.996;1550;0;1550;49384;0
28;1;1;1;0;0.000;2421.774089;2421.774089;33.334;780373;9755;12485968;12485968;1976.651;1976.651;2996.642;3188.611;2996.642;0.000;0.000;6.317;1.845;6.317;6.317;99.998;99.998;840;0;840;26705;0
29;1;1;1;0;0.000;2421.807422;2421.807422;33.333;781651;9771;12506416;12506416;2053.449;2053.449;3001.549;3193.833;3001.549;0.000;0.000;6.090;1.913;6.090;6.090;99.999;99.999;1587;0;1587;50028;0
30;1;1;1;0;0.000;2421.840755;2421.840755;33.333;781375;9768;12502000;12502000;1710.698;1710.698;3000.490;3192.714;3000.490;0.000;0.000;7.308;2.146;7.308;7.309;99.995;99.995;980;0;980;30448;0
31;1;1;1;0;0.000;2421.874089;2421.874089;33.334;784392;9805;12550272;12550272;1944.786;1944.786;3012.075;3205.028;3012.075;0.000;0.000;6.453;2.013;6.453;6.453;99.998;99.998;2211;0;2211;70068;0
32;1;1;1;0;0.000;2421.907422;2421.907422;33.333;782671;9784;12522736;12522736;1411.437;1411.437;3005.466;3198.006;3005.466;0.000;0.000;8.872;2.497;8.872;8.873;99.997;99.997;298;0;298;9304;0
33;1;1;1;0;0.000;2421.940755;2421.940755;33.333;776999;9713;12431984;12431984;1939.224;1939.224;2983.686;3174.828;2983.686;0.000;0.000;6.411;1.970;6.411;6.411;99.995;99.995;1108;0;1108;35051;0
34;1;1;1;0;0.000;2421.974088;2421.974088;33.333;778650;9734;12458400;12458400;2017.364;2017.364;2990.026;3181.581;2990.026;0.000;0.000;6.176;1.909;6.176;6.176;99.996;99.996;1353;0;1353;42464;0
35;1;1;1;0;0.000;2422.007422;2422.007422;33.333;778007;9726;12448112;12448112;1900.507;1900.507;2987.556;3178.955;2987.556;0.000;0.000;6.550;2.044;6.550;6.550;99.998;99.998;1749;0;1749;55930;0
36;1;1;1;0;0.000;2422.040755;2422.040755;33.333;776483;9707;12423728;12423728;1710.304;1710.304;2981.704;3172.728;2981.704;0.000;0.000;7.264;2.113;7.264;7.264;99.999;99.999;304;0;304;9098;0
37;1;1;1;0;0.000;2422.074088;2422.074088;33.333;781287;9767;12500592;12500592;2011.673;2011.673;3000.152;3192.357;3000.152;0.000;0.000;6.214;1.915;6.214;6.214;99.995;99.995;1439;0;1439;45173;0
38;1;1;1;0;0.000;2422.107427;2422.107427;33.338;780329;9755;12485264;12485264;1814.259;1814.259;2996.473;3188.442;2996.473;0.000;0.000;6.882;2.101;6.882;6.882;99.996;99.996;1793;0;1793;57251;0
39;1;1;1;0;0.000;2422.140755;2422.140755;33.328;780785;9760;12492560;12492560;1754.445;1754.445;2998.224;3190.291;2998.224;0.000;0.000;7.121;2.084;7.121;7.121;100.000;100.000;1129;0;1129;36128;0
40;1;1;1;0;0.000;2422.174089;2422.174089;33.333;785430;9818;12566880;12566880;2001.947;2001.947;3016.061;3209.269;3016.061;0.000;0.000;6.277;1.964;6.277;6.278;99.995;99.995;1810;0;1810;57776;0
41;1;1;1;0;0.000;2422.207422;2422.207422;33.333;789479;9869;12631664;12631664;1936.564;1936.564;3031.609;3225.821;3031.609;0.000;0.000;6.523;2.055;6.523;6.523;99.999;99.999;942;0;942;29517;0
42;1;1;1;0;0.000;2422.240755;2422.240755;33.333;789348;9867;12629568;12629568;1610.404;1610.404;3031.106;3225.279;3031.106;0.000;0.000;7.843;2.190;7.843;7.843;99.999;99.999;593;0;593;18346;0
43;1;1;1;0;0.000;2422.274088;2422.274088;33.334;792714;9909;12683424;12683424;1871.632;1871.632;3044.031;3239.031;3044.031;0.000;0.000;6.777;2.024;6.777;6.777;100.000;100.000;1676;0;1676;53335;0
44;1;1;1;0;0.000;2422.307422;2422.307422;33.333;790865;9886;12653840;12653840;1922.605;1922.605;3036.931;3231.478;3036.931;0.000;0.000;6.582;1.938;6.582;6.582;99.996;99.996;1053;0;1053;33650;0
45;1;1;1;0;0.000;2422.340755;2422.340755;33.333;787976;9850;12607616;12607616;1650.122;1650.122;3025.837;3219.676;3025.837;0.000;0.000;7.640;2.203;7.640;7.641;99.996;99.996;972;0;972;30972;0
46;1;1;1;0;0.000;2422.374088;2422.374088;33.333;789717;9872;12635472;12635472;1964.483;1964.483;3032.523;3226.794;3032.523;0.000;0.000;6.432;2.025;6.432;6.432;99.998;99.998;1405;0;1405;44496;0
47;1;1;1;0;0.000;2422.407421;2422.407422;33.333;784950;9812;12559200;12559200;1777.636;1777.636;3014.218;3207.308;3014.218;0.000;0.000;7.065;2.053;7.065;7.065;99.997;99.997;547;0;547;17180;0
48;1;1;1;0;0.000;2422.440755;2422.440755;33.333;781130;9765;12498080;12498080;1758.805;1758.805;2999.549;3191.714;2999.549;0.000;0.000;7.106;2.123;7.106;7.106;99.997;99.997;1300;0;1300;40601;0
49;1;1;1;0;0.000;2422.474089;2422.474089;33.334;780468;9756;12487488;12487488;1952.904;1952.904;2997.007;3188.995;2997.007;0.000;0.000;6.394;2.036;6.394;6.395;99.996;99.996;1099;0;1099;35072;0
50;1;1;1;0;0.000;2422.507422;2422.507422;33.333;783376;9793;12534016;12534016;1948.802;1948.802;3008.173;3200.890;3008.173;0.000;0.000;6.432;1.991;6.432;6.432;100.000;100.000;1623;0;1623;51006;0
