frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;geometry_aggregation_ms;max_r_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
268;1;1;1;3127.421322;3127.424108;3127.439126;805329;805329;805329;10067;10067;12885264;12885304;100.000;1255.190;1255.190;3092.473;3474.204;3092.473;15.002;1.343;10.381;5.809;2.671;112.997;97.979;15.018;69.124;13.291;2.786;24854.555;112.725;79.392;93.022;0;0;0;0;0;0;0;0
269;1;1;1;3127.553223;3127.556061;3127.570839;805419;805419;805419;10068;10068;12886704;12886744;100.000;1287.318;1287.318;3092.819;3474.588;3092.819;14.761;1.029;10.040;5.784;2.683;131.713;116.935;14.778;67.940;11.220;2.839;24952.934;131.954;98.620;93.371;0;0;0;0;0;0;0;0
270;1;1;1;3127.677800;3127.680711;3127.696109;804474;804474;804474;10056;10056;12871584;12871624;100.000;1210.162;1210.162;3089.190;3470.504;3089.190;15.382;1.396;10.432;5.791;2.691;125.270;109.872;15.399;67.748;12.293;2.911;25044.871;124.649;91.316;93.243;0;0;0;0;0;0;0;0
271;1;1;1;3127.797958;3127.800693;3127.815411;796101;796101;796101;9952;9952;12737616;12737656;100.000;1277.787;1277.787;3057.037;3434.408;3057.037;14.702;1.027;9.972;5.728;2.680;119.302;104.584;14.718;67.754;12.337;2.735;25130.840;119.983;86.650;92.831;0;0;0;0;0;0;0;0
272;1;1;1;3127.994037;3127.996751;3128.011540;805073;805073;805073;10064;10064;12881168;12881208;100.000;1286.555;1286.555;3091.490;3473.107;3091.490;14.763;1.273;10.317;5.814;2.690;196.129;181.339;14.790;69.758;7.541;2.714;25293.636;196.057;162.724;97.199;0;0;0;0;0;0;0;0
273;1;1;1;3128.125357;3128.128134;3128.142631;797204;797204;797204;9966;9966;12755264;12755304;100.000;1306.124;1306.124;3061.273;3439.174;3061.273;14.481;0.969;9.911;5.741;2.667;131.091;116.594;14.497;68.362;11.059;2.777;25391.393;131.384;98.050;97.252;0;0;0;0;0;0;0;0
274;1;1;1;3128.244539;3128.247288;3128.262635;805139;805139;805139;10065;10065;12882224;12882264;100.000;1217.802;1217.802;3091.743;3473.399;3091.743;15.330;1.017;10.085;5.836;2.660;120.003;104.657;15.346;65.717;12.788;2.750;25478.063;119.154;85.821;96.538;0;0;0;0;0;0;0;0
275;1;1;1;3128.366170;3128.368960;3128.384546;808073;808073;808073;10101;10101;12929168;12929208;100.000;1200.377;1200.377;3103.010;3486.030;3103.010;15.569;1.383;10.497;5.852;2.697;121.911;106.325;15.586;67.348;12.784;2.790;25566.641;121.672;88.338;96.025;0;0;0;0;0;0;0;0
276;1;1;1;3128.496747;3128.499566;3128.514869;813584;813584;813584;10170;10170;13017344;13017384;100.000;1246.137;1246.137;3124.172;3509.809;3124.172;15.286;1.068;10.260;5.893;2.730;130.323;115.021;15.303;67.048;11.742;2.820;25663.631;130.606;97.273;96.103;0;0;0;0;0;0;0;0
277;1;1;1;3128.630316;3128.633051;3128.647970;812306;812306;812306;10154;10154;12996896;12996936;100.000;1287.031;1287.031;3119.265;3504.295;3119.265;14.903;1.317;10.451;5.870;2.719;133.102;118.182;14.919;70.048;11.209;2.735;25763.399;133.485;100.152;96.356;0;0;0;0;0;0;0;0
