frame_id;rx_complete;current_skip;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;arrived_points;eroded_points;valid_points;rx_points;rx_packets;payload_bytes;data_integrity_pct;internal_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;arrival_pct;erosion_pct;valid_pct;web_publish_ms;web_ack_ms;active_process_ms;total_residency_ms;node_efficiency_pct;camera_node_ms;e2e_latency_ms;reference_e2e_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;cmd_id;reference_cmd_ms;cmd_apply_ms;cmd_photon_ms;quality_save_ms;mean_error;geom_rmse;chamfer;hausdorff;mean_mm;rmse_mm;chamfer_mm;hausdorff_mm
14;1;1;-0.087266;0.087266;1.000000;2624.081009;2624.532853;2624.537597;782770;159421;153009;144928;144928;1812;2318848;100.000;488.941;556.536;597.402;20.366;95.978;18.515;0.000;69.069;4.256;4.744;89.726;451.845;456.589;456.588;1209.768;127.627;94.294;52.585;2;72.425;72.425;161.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
15;1;1;-0.087266;0.087266;1.000000;2624.213710;2624.658907;2624.660030;784474;159965;153314;146044;146044;1826;2336704;100.000;2082.268;560.821;602.004;20.391;95.842;18.617;0.000;66.095;0.691;1.123;61.525;445.197;446.320;446.319;1298.867;126.054;92.720;55.093;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
16;1;1;-0.087266;0.087266;1.000000;2624.339405;2624.776628;2624.777750;785193;177968;156948;145822;145822;1823;2333152;100.000;2080.795;559.969;601.083;22.666;88.189;18.571;0.000;66.250;0.643;1.122;57.353;437.223;438.345;438.345;1383.254;117.721;84.388;56.924;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
17;1;1;-0.087266;0.087266;1.000000;2624.458559;2624.905253;2624.906554;782720;169127;155796;144126;144126;1802;2306016;100.000;1774.030;553.456;594.097;21.608;92.118;18.413;0.000;52.256;0.605;1.301;46.494;446.694;447.995;447.994;1478.725;128.625;95.292;59.322;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
18;1;1;-0.087266;0.087266;1.000000;2624.587295;2625.026385;2625.027468;781613;164376;152343;141930;141930;1775;2270880;100.000;2097.598;545.024;585.055;21.030;92.680;18.159;0.000;48.790;0.698;1.083;64.402;439.090;440.173;440.173;1566.305;121.132;87.798;61.102;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
19;1;1;-0.087266;0.087266;1.000000;2624.711550;2625.148560;2625.149872;780006;160684;150225;139740;139740;1747;2235840;100.000;1705.371;536.614;576.014;20.600;93.491;17.915;0.000;232.142;0.860;1.312;65.583;437.011;438.323;438.322;1655.376;122.175;88.842;62.835;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
20;1;1;0.000000;0.087266;1.000000;2624.834006;2625.273499;2625.279863;780302;157894;148300;138346;138346;1730;2213536;100.000;347.815;531.261;570.277;20.235;93.924;17.730;0.000;268.665;2.898;6.365;45.536;439.492;445.857;445.857;1752.034;124.938;91.605;64.634;3;51.195;51.195;360.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
21;1;1;0.000000;0.087266;1.000000;2624.955531;2625.403829;2625.405087;779066;156303;147479;137844;137844;1724;2205504;100.000;1754.222;529.333;568.214;20.063;94.355;17.693;0.000;288.244;0.817;1.258;65.008;448.298;449.556;449.555;1843.924;130.331;96.997;66.656;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
22;1;1;0.000000;0.087266;1.000000;2625.081574;2625.560643;2625.561897;778280;156434;148303;138092;138092;1727;2209472;100.000;1762.250;530.286;569.234;20.100;94.802;17.743;0.000;237.638;0.858;1.255;68.399;479.068;480.323;480.322;1967.401;156.814;123.480;70.208;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
23;1;1;0.000000;0.087266;1.000000;2625.202815;2625.709474;2625.714682;778907;155826;148511;138240;138240;1728;2211840;100.000;424.738;530.854;569.825;20.006;95.306;17.748;0.000;174.812;0.872;5.208;16.751;506.659;511.867;511.866;2086.853;148.831;115.498;73.038;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
24;1;1;0.000000;0.087266;1.000000;2625.330284;2625.857520;2625.861490;779289;155133;147900;138556;138556;1732;2216896;100.000;558.663;532.068;571.129;19.907;95.338;17.780;0.000;96.806;0.840;3.970;21.169;527.236;531.206;531.204;2200.327;148.046;114.712;75.643;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
25;1;1;0.000000;0.087266;1.050000;2625.495249;2625.964089;2625.965146;779739;154951;148061;138952;138952;1737;2223232;100.000;2105.785;533.588;572.762;19.872;95.553;17.820;0.000;56.790;0.629;1.057;59.485;468.840;469.897;469.896;2270.650;106.570;73.236;75.493;4;6.436;6.436;63.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
26;1;1;0.000000;0.087266;1.050000;2625.636396;2626.091833;2626.093090;779364;155091;148214;139454;139454;1744;2231264;100.000;1775.167;535.516;574.848;19.900;95.566;17.893;0.000;62.440;0.650;1.258;51.671;455.436;456.694;456.693;2365.261;127.743;94.410;76.675;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
27;1;1;0.000000;0.087266;1.050000;2625.778738;2626.211187;2626.212234;780025;155666;148911;140520;140520;1757;2248320;100.000;2147.358;539.609;579.235;19.957;95.661;18.015;0.000;72.593;0.687;1.048;65.584;432.449;433.497;433.496;2451.071;119.354;86.021;77.259;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
28;1;1;0.000000;0.087266;1.050000;2625.898276;2626.324163;2626.325477;780373;156450;150058;141820;141820;1773;2269120;100.000;1727.465;544.601;584.588;20.048;95.914;18.173;0.000;99.057;0.756;1.314;57.545;425.887;427.201;427.201;2530.981;112.976;79.643;77.408;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
29;1;1;0.000000;0.087266;1.050000;2626.020611;2626.441453;2626.442721;781651;158178;151821;143812;143812;1798;2300992;100.000;1815.475;552.251;592.801;20.236;95.981;18.398;0.000;62.482;0.867;1.268;68.333;420.842;422.110;422.109;2614.892;117.290;83.957;77.817;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
30;1;1;0.000000;0.087266;1.050000;2626.139523;2626.554788;2626.555883;781375;158959;152458;144756;144756;1810;2316096;100.000;2116.977;555.876;596.697;20.343;95.910;18.526;0.000;50.493;0.661;1.095;60.397;415.265;416.360;416.359;2694.720;113.335;80.002;77.954;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
31;1;1;0.000000;0.087266;1.050000;2626.259442;2626.674597;2626.675923;784392;176776;155937;143948;143948;1800;2303168;100.000;1738.008;552.773;593.368;22.537;88.212;18.352;0.000;50.143;0.608;1.326;45.851;415.155;416.481;416.480;2781.427;119.809;86.476;78.486;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
