frame_id;rx_complete;tx_complete;current_skip;event;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;codec_exit_time;node_exit_timestamp;original_points;rx_points;processed_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;conversion_ms;geometry_aggregation_ms;max_r_ms;projection_ms;codec_write_ms;active_tx_ms;active_process_ms;reference_process_ms;total_processing_ms;total_residency_ms;reference_residency_ms;node_efficiency_pct;reference_efficiency_pct;gpu_transfer_ms;gpu_kernel_ms;gpu_packing_ms;gpu_copyback_ms;host_overhead_ms;camera_node_ms;e2e_latency_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;reference_jitter_ms;raw_queue_ms;render_queue_ms;workload_ewma_ms;workload_ratio;frame_backlog;codec_backlog;encode_service_ms;encode_h265_ms;mse_y;psnr_y;ssim_y;mpeg_bytes_generated;ffmpeg_write_calls;ffmpeg_write_eagain;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
11;1;1;1;IDLE;0.000;0.000;1.000;3107.590084;3107.593239;3107.626178;3107.686353;778554;778554;778554;9732;19;12456864;12456904;100.000;605.135;605.135;5.842;6.413;2989.657;4.124;0.000;0.000;4.939;7.098;0.002;16.161;16.161;72.528;93.114;32.939;17.357;49.065;2.163;0.815;0.467;1.462;0.033;3.155;96.269;94.369;33.433;0.099;0.642;0.099;0.011;0.304;5.607;0.168;0;2;27.750;27.752;nan;nan;nan;24252;1;0;0;0;0;0;0
12;1;1;1;IDLE;0.000;0.000;1.000;3107.624270;3107.627931;3107.660900;3107.720520;779986;779986;779986;9750;20;12479776;12479816;100.000;636.513;636.513;6.157;6.760;2995.156;3.984;0.000;0.000;4.879;7.741;0.001;16.605;16.605;72.982;92.589;32.969;17.934;50.365;2.142;0.781;0.488;1.438;0.030;3.662;96.250;95.203;34.692;1.359;0.686;1.359;0.002;0.739;5.428;0.163;0;1;33.190;33.191;nan;nan;nan;25568;1;0;0;0;0;0;0
13;1;1;1;IDLE;0.000;0.000;1.000;3107.657162;3107.662655;3107.694821;3107.753774;780926;780926;780926;9762;20;12494816;12494856;100.000;659.636;659.636;6.293;6.896;2998.765;4.001;0.000;0.000;4.737;7.588;0.003;16.326;16.326;72.176;91.119;32.166;17.917;50.754;1.886;0.770;0.449;1.603;0.029;5.493;96.611;95.124;34.724;1.390;0.730;1.390;0.002;0.896;5.258;0.158;0;2;33.280;33.282;nan;nan;nan;26132;1;0;0;0;0;0;0
14;1;1;1;IDLE;0.000;0.000;1.000;3107.690312;3107.693809;3107.729103;3107.788829;782770;782770;782770;9785;21;12524320;12524360;100.000;613.527;613.527;6.383;7.017;3005.846;4.125;0.000;0.000;6.259;7.782;0.003;18.165;18.165;74.606;95.020;35.294;19.118;51.469;3.237;0.865;0.446;1.675;0.036;3.497;98.516;96.845;31.154;2.179;0.821;2.179;0.002;0.836;5.513;0.165;0;2;32.449;32.450;nan;nan;nan;26508;1;0;0;0;0;0;0
15;1;1;1;IDLE;0.000;0.000;1.000;3107.723756;3107.726913;3107.762095;3107.820317;784474;784474;784474;9806;21;12551584;12551624;100.000;603.330;603.330;6.564;7.198;3012.390;4.193;0.000;0.000;6.028;7.698;0.004;17.919;17.919;72.599;93.404;35.182;19.185;50.934;3.361;0.792;0.445;1.394;0.036;3.158;96.561;95.000;33.104;0.229;0.784;0.229;0.002;0.648;5.646;0.169;0;2;34.428;34.429;nan;nan;nan;27260;1;0;0;0;0;0;0
16;1;1;1;IDLE;0.000;0.000;1.000;3107.757123;3107.760351;3107.798499;3107.820686;785193;785193;785193;9815;100;12563088;12563128;100.000;594.372;594.372;31.605;34.704;3015.151;4.111;0.000;0.000;7.294;9.007;0.007;20.412;20.412;39.198;60.335;38.148;33.831;53.507;3.577;1.074;0.436;2.168;0.039;3.229;63.563;62.036;33.438;0.105;0.742;0.105;0.003;0.707;6.066;0.182;0;2;30.819;30.822;nan;nan;nan;131600;1;0;0;0;0;0;0
17;1;1;1;IDLE;0.000;0.000;1.000;3107.790679;3107.793756;3107.828567;3107.853714;782720;782720;782720;9784;22;12523520;12523560;100.000;608.303;608.303;6.970;7.635;3005.654;3.736;0.000;0.000;4.946;9.025;0.004;17.708;17.708;39.371;59.958;34.811;29.533;50.868;2.050;0.759;0.467;1.641;0.030;3.077;63.035;61.731;33.405;0.071;0.700;0.071;0.002;0.248;5.789;0.174;0;2;34.092;34.093;nan;nan;nan;28952;1;0;0;0;0;0;0
18;1;1;1;IDLE;0.000;0.000;1.000;3107.823419;3107.826447;3107.861641;3107.918965;781613;781613;781613;9771;18;12505808;12505848;100.000;598.355;598.355;5.571;6.111;3001.404;4.181;0.000;0.000;6.219;8.006;0.002;18.407;18.407;71.618;92.518;35.194;19.895;52.301;3.273;0.757;0.444;1.709;0.037;3.028;95.546;93.648;32.691;0.642;0.696;0.642;0.003;0.065;5.911;0.177;0;2;34.141;34.142;nan;nan;nan;23124;1;0;0;0;0;0;0
19;1;1;1;IDLE;0.000;0.000;1.000;3107.857269;3107.860333;3107.897854;3107.919000;780006;780006;780006;9751;17;12480096;12480136;100.000;586.090;586.090;5.390;5.900;2995.233;4.116;0.000;0.000;6.123;9.146;0.001;19.385;19.385;37.373;58.667;37.520;33.042;51.665;3.458;0.759;0.437;1.431;0.038;3.065;61.731;60.350;33.886;0.553;0.687;0.553;0.002;0.955;5.969;0.179;0;2;30.253;30.254;nan;nan;nan;22372;1;0;0;0;0;0;0
20;1;1;1;IDLE;0.000;0.000;1.000;3107.889625;3107.892660;3107.925738;3107.986303;780302;780302;780302;9754;18;12484832;12484872;100.000;608.083;608.083;5.571;6.111;2996.369;3.904;0.000;0.000;5.078;6.958;0.002;15.940;15.940;73.111;93.642;33.078;17.022;48.188;2.217;0.764;0.480;1.584;0.033;3.035;96.677;94.319;32.327;1.006;0.707;1.006;0.014;0.497;5.749;0.172;0;2;33.774;33.775;nan;nan;nan;23124;1;0;0;0;0;0;0
