frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;geometry_aggregation_ms;max_r_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
252;1;1;1;2654.223259;2654.226125;2654.241271;812707;812707;812707;10159;10159;13003312;13003352;100.000;1255.723;1255.723;3120.804;3506.024;3120.804;15.130;1.040;10.137;5.832;2.707;132.462;117.316;15.147;66.927;11.435;2.866;23426.546;132.622;99.289;95.854;0;0;0;0;0;0;0;0
253;1;1;1;2654.359943;2654.362764;2654.378031;811017;811017;811017;10138;10138;12976272;12976312;100.000;1247.541;1247.541;3114.315;3498.738;3114.315;15.251;1.398;10.585;5.898;2.724;136.760;121.493;15.268;69.333;11.164;2.821;23529.973;136.639;103.306;96.320;0;0;0;0;0;0;0;0
254;1;1;1;2654.485946;2654.488727;2654.504344;812416;812416;812416;10156;10156;12998656;12998696;100.000;1202.426;1202.426;3119.687;3504.793;3119.687;15.600;1.080;10.231;5.861;2.700;126.313;110.696;15.617;65.513;12.363;2.782;23622.952;125.964;92.630;96.089;0;0;0;0;0;0;0;0
255;1;1;1;2654.607135;2654.610036;2654.625673;815874;815874;815874;10199;10199;13053984;13054024;100.000;1207.039;1207.039;3132.966;3519.702;3132.966;15.621;1.404;10.575;5.874;2.710;121.329;105.692;15.637;67.626;12.888;2.901;23710.948;121.309;87.975;95.582;0;0;0;0;0;0;0;0
256;1;1;1;2654.739807;2654.742588;2654.757778;811813;811813;811813;10148;10148;12989008;12989048;100.000;1251.630;1251.630;3117.372;3502.174;3117.372;15.174;1.067;10.221;5.871;2.717;132.105;116.914;15.190;67.288;11.499;2.781;23809.719;132.551;99.218;95.809;0;0;0;0;0;0;0;0
257;1;1;1;2654.872632;2654.875407;2654.890298;809323;809323;809323;10117;10117;12949168;12949208;100.000;1282.911;1282.911;3107.810;3491.437;3107.810;14.866;1.319;10.404;5.844;2.695;132.521;117.629;14.892;69.867;11.237;2.775;23908.906;132.819;99.486;96.039;0;0;0;0;0;0;0;0
258;1;1;1;2654.998287;2655.001134;2655.016178;806066;806066;806066;10076;10076;12897056;12897096;100.000;1254.148;1254.148;3095.303;3477.375;3095.303;15.028;1.028;10.073;5.823;2.663;125.880;110.835;15.045;66.957;11.952;2.846;24001.453;125.727;92.394;95.811;0;0;0;0;0;0;0;0
259;1;1;1;2655.116427;2655.119289;2655.134288;803994;803994;803994;10050;10050;12863904;12863944;100.000;1259.969;1259.969;3087.347;3468.433;3087.347;14.982;1.368;10.425;5.811;2.698;118.110;103.111;14.999;69.506;12.699;2.862;24086.229;118.155;84.822;95.124;0;0;0;0;0;0;0;0
260;1;1;1;2655.239209;2655.242259;2655.256825;804675;804675;804675;10059;10059;12874800;12874840;100.000;1312.888;1312.888;3089.962;3471.389;3089.962;14.550;1.013;10.016;5.772;2.683;122.536;107.971;14.566;68.766;11.887;3.049;24175.433;122.969;89.636;94.781;0;0;0;0;0;0;0;0
261;1;1;1;2655.366396;2655.369204;2655.384662;803023;803023;803023;10038;10038;12848368;12848408;100.000;1204.325;1204.325;3083.618;3464.249;3083.618;15.442;1.484;10.520;5.791;2.700;127.838;112.380;15.458;68.057;12.092;2.808;24269.937;126.945;93.612;94.708;0;0;0;0;0;0;0;0
