frame_id;status;current_skip;event;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;clock_offset_ms;original_points;rx_points;tx_points;rx_packets;tx_packets;payload_bytes;data_integrity_pct;internal_throughput_mbs;network_bitrate_mbps;conversion_ms;projection_ms;tx_duration_ms;active_process_ms;total_processing_ms;total_residency_ms;node_efficiency_pct;gpu_transfer_ms;gpu_kernel_ms;gpu_packing_ms;gpu_copyback_ms;host_overhead_ms;camera_to_node_latency_ms;end_to_end_latency_ms;schedule_delay_ms;network_jitter_ms;wait_raw_queue_ms;wait_render_queue_ms;encode_h265_ms;mpeg_bytes_generated;tx_retries;mbuf_starvation
147;1;1;Idle;0.000;0.000;1.000;29618.529565;29618.530046;29618.575113;0.465;794594;794594;794594;9933;25;12713544;100.00;826.370;3051.251;7.722;15.820;13.842;37.385;37.385;45.067;82.954;9.619;1.618;0.735;1.406;2.443;0.016;45.083;12778.908;105.561;0.002;0.018;253.903;31960;0;0
148;1;1;Idle;0.000;0.000;1.000;29618.650665;29618.651150;29618.688108;0.465;797998;797998;797998;9975;24;12768008;100.00;824.380;3064.322;7.659;15.606;5.844;29.109;29.109;36.957;78.762;9.407;1.620;0.728;1.393;2.457;0.020;36.978;12858.570;87.771;0.002;0.018;250.997;30644;0;0
149;1;1;Idle;0.000;0.000;1.000;29618.768544;29618.769026;29618.812706;0.465;798639;798639;798639;9983;24;12778264;100.00;826.880;3066.783;7.785;15.774;12.433;35.992;35.992;43.680;82.399;9.522;1.620;0.733;1.406;2.493;0.017;43.698;12949.835;84.542;0.002;0.017;256.551;30644;0;0
150;1;1;Idle;0.000;0.000;1.000;29618.885120;29618.885605;29618.930777;0.465;796693;796693;796693;9959;24;12747128;100.00;826.474;3059.311;7.806;15.856;13.872;37.534;37.534;45.172;83.092;9.655;1.612;0.735;1.406;2.449;0.021;45.192;13034.572;83.246;0.002;0.018;275.948;30644;0;0
151;1;1;Idle;0.000;0.000;1.000;29619.016937;29619.017422;29619.054419;0.465;794717;794717;794717;9934;105;12715512;100.00;814.104;3051.723;7.635;15.505;5.852;28.993;28.993;36.997;78.366;9.300;1.611;0.734;1.400;2.459;0.021;37.017;13124.881;98.484;0.002;0.018;272.625;137804;0;0
152;1;1;Idle;0.000;0.000;1.000;29619.146319;29619.146798;29619.190358;0.465;792861;792861;792861;9911;22;12685816;100.00;825.129;3044.596;7.644;15.609;12.557;35.809;35.809;43.559;82.208;9.406;1.618;0.735;1.407;2.443;0.015;43.574;13227.487;96.043;0.002;0.018;226.983;28764;0;0
153;1;1;Idle;0.000;0.000;1.000;29619.273272;29619.273757;29619.318714;0.465;792789;792789;792789;9910;19;12684664;100.00;828.073;3044.319;7.738;15.789;13.826;37.353;37.353;44.957;83.084;9.595;1.614;0.730;1.411;2.439;0.021;44.978;13322.510;93.625;0.002;0.022;311.136;23688;0;0
154;1;1;Idle;0.000;0.000;1.000;29619.364610;29619.365106;29619.401938;0.465;792309;792309;792309;9904;18;12676984;100.00;828.661;3042.476;7.692;15.512;6.002;29.205;29.205;36.832;79.293;9.340;1.616;0.728;1.389;2.439;0.031;36.863;13372.400;58.016;0.002;0.018;345.173;23312;0;0
155;1;1;Idle;0.000;0.000;1.000;29619.569609;29619.570090;29619.613581;0.465;791925;791925;791925;9900;20;12670840;100.00;826.638;3041.002;7.675;15.696;12.447;35.818;35.818;43.491;82.358;9.531;1.608;0.717;1.402;2.439;0.017;43.508;13550.710;171.651;0.002;0.018;243.960;25192;0;0
156;1;1;Idle;0.000;0.000;1.000;29619.692928;29619.693416;29619.738616;0.465;793795;793795;793795;9923;23;12700760;100.00;828.991;3048.182;7.741;15.769;14.079;37.589;37.589;45.199;83.163;9.559;1.617;0.733;1.402;2.458;0.023;45.223;13642.411;89.993;0.002;0.029;243.574;29140;0;0
157;1;1;Idle;0.000;0.000;1.000;29619.805415;29619.805898;29619.842691;0.465;793460;793460;793460;9919;22;12695400;100.00;825.209;3046.896;7.727;15.527;5.861;29.115;29.115;36.793;79.132;9.310;1.625;0.740;1.409;2.443;0.018;36.811;13713.154;79.149;0.002;0.019;253.608;28576;0;0
158;1;1;Idle;0.000;0.000;1.000;29619.921688;29619.922166;29619.965665;0.465;795527;795527;795527;9945;22;12728472;100.00;823.909;3054.833;7.713;15.704;12.326;35.743;35.743;43.498;82.170;9.494;1.623;0.734;1.405;2.448;0.014;43.512;13802.793;82.934;0.001;0.018;252.019;28388;0;0
159;1;1;Idle;0.000;0.000;1.000;29620.042379;29620.042870;29620.087996;0.465;798776;798776;798776;9985;24;12780456;100.00;826.761;3067.309;7.747;15.821;13.826;37.394;37.394;45.126;82.866;9.601;1.625;0.734;1.402;2.459;0.025;45.151;13891.791;87.370;0.002;0.018;257.135;29892;0;0
160;1;1;Idle;0.000;0.000;1.000;29620.165305;29620.165788;29620.202946;0.465;799362;799362;799362;9993;23;12789832;100.00;824.418;3069.560;7.776;15.653;5.972;29.400;29.400;37.158;79.123;9.445;1.620;0.733;1.401;2.455;0.018;37.176;13973.408;89.585;0.002;0.018;229.730;29328;0;0
161;1;1;Idle;0.000;0.000;1.000;29620.284977;29620.285471;29620.328852;0.465;789777;789777;789777;9873;23;12636472;100.00;828.714;3032.753;7.720;15.607;12.506;35.832;35.832;43.381;82.599;9.439;1.604;0.733;1.390;2.441;0.029;43.410;14065.981;86.349;0.002;0.018;244.378;29140;0;0
