frame_id;rx_complete;current_skip;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;arrived_points;eroded_points;valid_points;rx_points;rx_packets;payload_bytes;data_integrity_pct;internal_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;arrival_pct;erosion_pct;valid_pct;web_publish_ms;web_ack_ms;active_process_ms;total_residency_ms;node_efficiency_pct;camera_node_ms;e2e_latency_ms;reference_e2e_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;cmd_id;reference_cmd_ms;cmd_apply_ms;cmd_photon_ms;quality_save_ms;mean_error;geom_rmse;chamfer;hausdorff;mean_mm;rmse_mm;chamfer_mm;hausdorff_mm
257;1;1;-2.268928;0.000000;1.000000;2429.407422;2429.613521;2429.619932;809323;172971;158511;145366;145366;1818;2325856;100.000;362.880;558.218;599.220;21.372;91.640;17.961;0.000;0.000;5.808;6.411;90.594;206.100;212.511;212.509;15.048;39.151;5.818;6.338;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
258;1;1;-2.268928;0.000000;1.000000;2429.440757;2429.642629;2429.644883;806066;169644;156715;145058;145058;1814;2320928;100.000;1030.807;557.035;597.947;21.046;92.379;17.996;0.000;98.397;1.463;2.253;64.923;201.873;204.126;204.124;6.665;29.108;4.225;6.206;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
259;1;1;-2.268928;0.000000;1.000000;2429.474088;2429.670637;2429.671893;803994;167791;156356;144584;144584;1808;2313344;100.000;1841.836;555.215;595.991;20.870;93.185;17.983;0.000;0.000;0.858;1.256;68.277;196.548;197.805;197.804;0.342;28.007;5.326;6.151;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
260;1;1;-2.268928;0.000000;1.000000;2429.507422;2429.705794;2429.709478;804675;166645;156387;144650;144650;1809;2314400;100.000;628.550;555.468;596.267;20.710;93.844;17.976;0.001;114.614;0.809;3.684;21.949;198.373;202.056;202.055;4.594;35.158;1.824;5.881;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
261;1;1;-2.356194;0.000000;1.000000;2429.540755;2429.741946;2429.753877;803023;164873;155530;143952;143952;1800;2303232;100.000;193.094;552.788;593.384;20.532;94.333;17.926;0.000;0.000;10.024;11.931;84.016;201.191;213.122;213.120;15.660;36.152;2.819;5.689;27;3.464;47.862;208.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
262;1;1;-2.356194;0.000000;1.000000;2429.574088;2429.781895;2429.786618;804900;165128;156525;144058;144058;1801;2304928;100.000;488.186;553.195;593.813;20.515;94.790;17.898;0.000;0.000;4.122;4.722;87.287;207.807;212.530;212.529;15.067;39.949;6.616;5.747;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
263;1;1;-2.356194;0.000000;1.000000;2429.607431;2429.810962;2429.818085;801032;164683;156548;144662;144662;1809;2314592;100.000;325.001;555.515;596.313;20.559;95.060;18.059;0.000;93.822;6.399;7.123;89.835;203.531;210.654;210.653;13.201;29.067;4.266;5.655;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
264;1;1;-2.356194;0.000000;1.000000;2429.640762;2429.850051;2429.871804;793638;164367;156483;145976;145976;1825;2335616;100.000;107.379;560.560;601.720;20.711;95.203;18.393;0.000;0.000;5.602;21.753;25.752;209.289;231.041;231.040;33.586;39.089;5.755;5.661;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
265;1;1;-2.443461;0.000000;1.000000;2429.674089;2429.872615;2429.874584;801156;165738;158404;148478;148478;1856;2375648;100.000;1207.557;570.168;612.027;20.687;95.575;18.533;0.000;0.000;1.550;1.968;78.759;198.527;200.495;200.494;3.033;22.564;10.769;5.980;28;7.319;10.099;141.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
266;1;1;-2.443461;0.000000;1.000000;2429.707421;2429.911523;2429.913723;804749;166668;159482;149922;149922;1875;2398752;100.000;1090.850;575.713;618.000;20.711;95.688;18.630;0.000;85.291;1.420;2.200;64.553;204.102;206.302;206.301;8.839;38.908;5.574;5.955;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
267;1;1;-2.443461;0.000000;1.000000;2429.740755;2429.948274;2429.953901;805449;166864;159667;150436;150436;1881;2406976;100.000;427.877;577.687;620.110;20.717;95.687;18.677;0.001;0.000;1.789;5.627;31.798;207.519;213.146;213.144;15.683;36.750;3.417;5.796;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
268;1;1;-2.443461;0.000000;1.000000;2429.774088;2429.975460;2429.977856;805329;165648;158691;149636;149636;1871;2394176;100.000;999.666;574.615;616.812;20.569;95.800;18.581;0.000;92.022;1.610;2.396;67.192;201.372;203.768;203.767;6.305;27.186;6.147;5.818;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
269;1;1;-2.443461;0.000000;1.000000;2429.807422;2430.014520;2430.019341;805419;163852;157013;148420;148420;1856;2374720;100.000;492.749;569.945;611.804;20.344;95.826;18.428;0.001;0.000;4.117;4.821;85.397;207.097;211.918;211.917;14.457;39.060;5.726;5.812;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
270;1;1;-2.443461;0.000000;1.000000;2429.840756;2430.043221;2430.070242;804474;161567;154917;146600;146600;1833;2345600;100.000;86.811;562.956;604.296;20.084;95.884;18.223;0.000;0.000;1.341;27.021;4.962;202.466;229.487;229.486;32.025;28.702;4.632;5.739;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
