frame_id;rx_complete;current_skip;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;arrived_points;eroded_points;valid_points;rx_points;rx_packets;payload_bytes;data_integrity_pct;internal_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;arrival_pct;erosion_pct;valid_pct;web_publish_ms;web_ack_ms;active_process_ms;total_residency_ms;node_efficiency_pct;camera_node_ms;e2e_latency_ms;reference_e2e_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;cmd_id;reference_cmd_ms;cmd_apply_ms;cmd_photon_ms;quality_save_ms;mean_error;geom_rmse;chamfer;hausdorff;mean_mm;rmse_mm;chamfer_mm;hausdorff_mm
283;1;1;0.000000;0.000000;1.276282;3116.656224;3116.853696;3116.859212;813249;163686;156725;148574;148574;1858;2377184;100.000;431.040;570.537;612.441;20.127;95.747;18.269;0.001;0.000;2.770;5.516;50.213;197.471;202.988;202.986;11.532;33.603;0.270;6.731;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
284;1;1;0.000000;0.000000;1.276282;3116.690411;3116.889923;3116.892824;809333;161531;154880;146866;146866;1836;2349856;100.000;810.180;563.978;605.386;19.959;95.883;18.147;0.001;85.150;2.265;2.902;78.058;199.512;202.414;202.413;11.811;36.227;2.894;6.491;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
285;1;1;0.000000;0.000000;1.340096;3116.722642;3116.946214;3116.947456;815482;159578;152811;145550;145550;1820;2328800;100.000;1877.238;558.924;599.971;19.569;95.759;17.848;0.000;0.000;0.820;1.242;66.039;223.572;224.813;224.812;33.109;56.291;22.958;7.520;50;0.716;55.347;200.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
286;1;1;0.000000;0.000000;1.340096;3116.756981;3116.952183;3116.953448;814633;181574;157734;144160;144160;1802;2306560;100.000;1824.108;553.587;594.228;22.289;86.870;17.696;0.000;137.648;0.796;1.265;62.867;195.202;196.467;196.466;5.768;5.969;27.365;8.761;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
287;1;1;0.000000;0.000000;1.340096;3116.789390;3117.005066;3117.012684;814941;172066;156157;142853;142853;1786;2285648;100.000;300.099;548.568;588.848;21.114;90.754;17.529;0.000;0.000;6.741;7.618;88.496;215.677;223.294;223.293;31.671;52.884;19.550;9.435;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
288;1;1;0.000000;0.000000;1.340096;3116.823768;3117.025280;3117.027346;818847;168248;154535;142468;142468;1781;2279488;100.000;1104.512;547.090;587.256;20.547;91.850;17.399;0.000;0.000;1.392;2.065;67.407;201.512;203.578;203.576;12.999;20.214;13.119;9.665;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
289;1;1;0.000000;0.000000;1.407100;3116.856741;3117.053432;3117.070376;824052;165732;153313;142484;142484;1782;2279744;100.000;134.574;547.151;587.340;20.112;92.507;17.291;0.001;0.000;1.191;16.944;7.030;196.691;213.634;213.632;22.696;28.152;5.182;9.385;51;24.346;24.346;137.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
290;1;1;0.000000;0.000000;1.407100;3116.889935;3117.090830;3117.112756;835458;164725;153342;143172;143172;1790;2290752;100.000;104.484;549.793;590.163;19.717;93.090;17.137;0.000;78.080;0.880;21.926;4.012;200.895;222.821;222.820;31.743;37.398;4.065;9.052;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
291;1;1;0.000000;0.000000;1.407100;3116.923618;3117.128785;3117.143122;819605;163413;154000;143314;143314;1792;2293024;100.000;159.964;550.338;590.753;19.938;94.240;17.486;0.001;0.000;6.343;14.337;44.247;205.167;219.504;219.502;28.775;37.955;4.621;8.775;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
292;1;1;0.000000;0.000000;1.407100;3116.956078;3117.153740;3117.162452;827799;162483;153375;143732;143732;1797;2299712;100.000;264.037;551.943;592.471;19.628;94.394;17.363;0.001;0.000;7.731;8.712;88.745;197.662;206.374;206.372;14.772;24.955;8.378;8.751;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
293;1;1;0.000000;0.000000;1.407100;3116.990731;3117.190613;3117.212361;830771;161486;153254;144010;144010;1801;2304160;100.000;105.952;553.011;593.629;19.438;94.902;17.335;0.000;126.462;4.484;21.748;20.618;199.883;221.631;221.630;31.348;36.874;3.540;8.425;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
294;1;1;0.000000;0.000000;1.407100;3117.022857;3117.238510;3117.243973;835004;162183;154864;145768;145768;1823;2332288;100.000;427.064;559.762;600.876;19.423;95.487;17.457;0.000;0.000;2.524;5.462;46.201;215.653;221.115;221.114;29.626;47.897;14.564;8.809;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
295;1;1;0.000000;0.000000;1.477455;3117.057088;3117.252753;3117.258179;814967;164377;157192;148094;148094;1852;2369504;100.000;436.743;568.693;610.462;20.170;95.629;18.172;0.000;0.000;4.931;5.426;90.866;195.665;201.091;201.090;10.499;14.242;19.091;9.451;52;24.491;38.698;275.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
296;1;1;0.000000;0.000000;1.477455;3117.090609;3117.324612;3117.328612;818656;165039;157890;149404;149404;1868;2390464;100.000;597.707;573.724;615.853;20.160;95.668;18.250;0.000;154.545;3.597;4.001;89.912;234.002;238.003;238.002;47.599;71.859;38.526;11.268;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
297;1;1;0.000000;0.000000;1.477455;3117.122249;3117.347555;3117.348934;819807;164799;157745;149370;149370;1868;2389920;100.000;1734.440;573.593;615.723;20.102;95.720;18.220;0.000;0.000;0.897;1.378;65.110;225.306;226.685;226.684;34.587;22.944;10.390;11.214;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
298;1;1;0.000000;0.000000;1.477455;3117.157196;3117.374746;3117.378233;814766;162858;155962;148012;148012;1851;2368192;100.000;679.213;568.379;610.125;19.988;95.766;18.166;0.000;0.000;1.221;3.487;35.022;217.550;221.037;221.037;30.553;27.190;6.143;10.897;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
299;1;1;0.000000;0.000000;1.477455;3117.190645;3117.392761;3117.397680;809259;160286;153579;146174;146174;1828;2338784;100.000;475.566;561.321;602.548;19.807;95.816;18.063;0.000;0.000;4.295;4.919;87.313;202.116;207.035;207.034;16.667;18.016;15.318;11.173;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
300;1;1;0.000000;0.000000;1.551328;3117.223559;3117.410480;3117.411749;812212;158644;151819;144110;144110;1802;2305760;100.000;1818.698;553.395;594.036;19.532;95.698;17.743;0.000;128.715;0.849;1.269;66.914;186.921;188.190;188.189;-2.597;17.719;15.615;11.451;53;8.683;8.683;183.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
