frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
285;1;1;1;5220.575928;5220.771405;5220.773617;815482;145550;145550;1820;1820;2328800;2328852;100.000;1058.600;1058.600;558.924;599.971;558.924;2.203;0.977;1.028;16.227;14.015;2.212;46.465;13.632;195.478;10.471;16.493;16.840;5.817;0;0;0;0;0;0;0;0
286;1;1;1;5220.608326;5220.801032;5220.802621;814633;144160;144160;1802;1802;2306560;2306612;100.000;1456.449;1456.449;553.587;594.228;553.587;1.584;0.948;0.998;29.003;27.415;1.589;62.819;5.477;192.706;6.141;29.627;3.706;5.686;0;0;0;0;0;0;0;0
287;1;1;1;5220.642729;5220.855367;5220.857947;814941;142853;142853;1786;1786;2285648;2285700;100.000;893.788;893.788;548.568;588.848;548.568;2.572;1.978;2.019;55.326;52.746;2.580;78.282;4.662;212.638;28.134;54.335;21.002;6.643;0;0;0;0;0;0;0;0
288;1;1;1;5220.675721;5220.871296;5220.872972;818847;142468;142468;1781;1781;2279488;2279540;100.000;1367.105;1367.105;547.090;587.256;547.090;1.670;0.932;0.987;15.025;13.349;1.676;58.886;11.153;195.575;9.826;15.929;17.405;7.315;0;0;0;0;0;0;0;0
289;1;1;1;5220.707569;5220.922934;5220.925252;824052;142484;142484;1782;1782;2279744;2279796;100.000;988.237;988.237;547.151;587.340;547.151;2.312;1.772;1.810;52.280;49.962;2.318;78.085;4.434;215.365;28.773;51.638;18.305;8.002;0;0;0;0;0;0;0;0
290;1;1;1;5220.743355;5220.938368;5220.940545;835458;143172;143172;1790;1790;2290752;2290804;100.000;1059.262;1059.262;549.793;590.163;549.793;2.172;0.948;0.997;15.293;13.116;2.177;45.797;14.237;195.012;10.733;15.434;17.899;8.621;0;0;0;0;0;0;0;0
291;1;1;1;5220.774951;5220.988524;5220.991114;819605;143314;143314;1792;1792;2293024;2293076;100.000;894.097;894.097;550.338;590.753;550.338;2.581;1.936;1.976;50.569;47.979;2.590;76.294;5.122;213.573;27.968;50.156;16.823;9.133;0;0;0;0;0;0;0;0
292;1;1;1;5220.808366;5221.004779;5221.006926;827799;143732;143732;1797;1797;2299712;2299764;100.000;1072.736;1072.736;551.943;592.471;551.943;2.140;0.929;0.980;15.812;13.666;2.146;45.668;13.573;196.413;10.446;16.256;17.077;9.630;0;0;0;0;0;0;0;0
293;1;1;1;5220.842490;5221.038600;5221.056333;830771;144010;144010;1801;1801;2304160;2304212;100.000;130.011;130.011;553.011;593.629;553.011;17.729;1.436;1.484;49.407;31.674;17.733;8.367;35.892;196.110;26.521;33.820;0.487;9.058;0;0;0;0;0;0;0;0
294;1;1;1;5220.874833;5221.071494;5221.073326;835004;145768;145768;1823;1823;2332288;2332340;100.000;1284.963;1284.963;559.762;600.876;559.762;1.828;0.767;0.825;16.993;15.161;1.832;45.025;10.781;196.661;10.180;32.894;0.439;8.520;0;0;0;0;0;0;0;0
295;1;1;1;5220.909579;5221.105412;5221.162505;814967;148094;148094;1852;1852;2369504;2369556;100.000;41.509;41.509;568.693;610.462;568.693;57.089;0.757;0.802;89.179;32.086;57.093;1.406;64.021;195.833;66.026;33.918;0.585;8.024;0;0;0;0;0;0;0;0
296;1;1;1;5220.941725;5221.191323;5221.192830;818656;149404;149404;1868;1868;2390464;2390516;100.000;1593.675;1593.675;573.724;615.853;573.724;1.504;1.154;1.181;30.325;28.818;1.507;78.377;4.970;249.598;63.018;85.911;52.578;10.808;0;0;0;0;0;0;0;0
297;1;1;1;5220.976960;5221.204110;5221.205249;819807;149370;149370;1868;1868;2389920;2389972;100.000;2103.612;2103.612;573.593;615.723;573.593;1.136;0.532;0.561;12.419;11.280;1.139;49.263;9.172;227.150;42.103;12.787;20.546;11.417;0;0;0;0;0;0;0;0
298;1;1;1;5221.008173;5221.224662;5221.225775;814766;148012;148012;1851;1851;2368192;2368244;100.000;2141.649;2141.649;568.379;610.125;568.379;1.109;0.859;0.886;20.526;19.413;1.113;79.609;5.424;216.489;29.296;20.552;12.782;11.502;0;0;0;0;0;0;0;0
299;1;1;1;5221.042937;5221.242462;5221.243871;809259;146174;146174;1828;1828;2338784;2338836;100.000;1660.255;1660.255;561.321;602.548;561.321;1.406;0.467;0.496;18.096;16.687;1.410;35.164;7.789;199.525;14.059;17.800;15.533;11.754;0;0;0;0;0;0;0;0
300;1;1;1;5221.074891;5221.264045;5221.265070;812212;144110;144110;1802;1802;2305760;2305812;100.000;2253.671;2253.671;553.395;594.036;553.395;1.022;0.469;0.497;21.199;20.173;1.026;48.443;4.838;189.154;1.924;21.583;11.750;11.754;0;0;0;0;0;0;0;0
