filename;status;num_points;read_ascii_ms;write_bin_ms;conversion_ms;size_ascii_bytes;size_bin_bytes
loot_vox10_1078.ply;success;784719;6816.235;4.894;6838.455;16640658;12555504
loot_vox10_1079.ply;success;780701;6876.492;5.257;6900.334;16557501;12491216
loot_vox10_1080.ply;success;785754;7151.578;6.805;7178.359;16655254;12572064
loot_vox10_1081.ply;success;783308;6951.208;4.570;6973.231;16597850;12532928
loot_vox10_1082.ply;success;782737;7225.888;5.421;7248.369;16577535;12523792
loot_vox10_1083.ply;success;781874;6862.453;4.581;6885.145;16553610;12509984
loot_vox10_1084.ply;success;780545;7125.802;4.534;7148.837;16523318;12488720
loot_vox10_1085.ply;success;778343;7140.115;11.883;7175.474;16477856;12453488
loot_vox10_1086.ply;success;778458;7200.685;9.974;7230.934;16479881;12455328
loot_vox10_1087.ply;success;778592;7076.992;22.029;7126.052;16480435;12457472
loot_vox10_1088.ply;success;779952;6970.190;6.672;6994.727;16501669;12479232
loot_vox10_1089.ply;success;779674;6930.499;5.087;6953.018;16490417;12474784
loot_vox10_1090.ply;success;781083;7348.854;8.554;7375.710;16514872;12497328
loot_vox10_1091.ply;success;780537;6971.411;15.151;7004.745;16504714;12488592
loot_vox10_1092.ply;success;773046;7102.476;10.801;7154.427;16357960;12368736
loot_vox10_1093.ply;success;770822;8233.092;7.624;8260.948;16321120;12333152
loot_vox10_1094.ply;success;778859;6853.723;8.047;6890.566;16488300;12461744
loot_vox10_1095.ply;success;778333;6942.805;5.377;6965.659;16477405;12453328
loot_vox10_1096.ply;success;782798;6972.399;7.876;6994.277;16573831;12524768
loot_vox10_1097.ply;success;781418;6881.809;7.002;6906.170;16538809;12502688
loot_vox10_1098.ply;success;777382;6834.038;5.213;6866.682;16449729;12438112
loot_vox10_1099.ply;success;778267;6928.522;6.862;6953.586;16473212;12452272
loot_vox10_1100.ply;success;780699;6978.975;7.958;7004.866;16524191;12491184
loot_vox10_1101.ply;success;780328;8016.645;5.383;8040.384;16504733;12485248
loot_vox10_1102.ply;success;782351;10344.608;5.163;10367.713;16536682;12517616
loot_vox10_1103.ply;success;782164;8780.111;8.002;8815.012;16531853;12514624
loot_vox10_1104.ply;success;783021;7143.530;6.344;7168.057;16550489;12528336
loot_vox10_1105.ply;success;786829;7040.336;15.863;7076.960;16626449;12589264
loot_vox10_1106.ply;success;789365;6857.843;12.668;6894.665;16680480;12629840
loot_vox10_1107.ply;success;790807;6781.892;14.410;6820.604;16710461;12652912
loot_vox10_1108.ply;success;789334;7237.769;31.377;7302.247;16683413;12629344
loot_vox10_1109.ply;success;783753;7409.128;9.223;7453.243;16575562;12540048
loot_vox10_1110.ply;success;781240;8117.219;7.409;8144.042;16527110;12499840
loot_vox10_1111.ply;success;781247;7816.995;4.635;7841.350;16534627;12499952
loot_vox10_1112.ply;success;783523;7072.846;6.108;7097.205;16587770;12536368
loot_vox10_1113.ply;success;783046;6997.612;4.978;7020.001;16577966;12528736
loot_vox10_1114.ply;success;785712;7133.063;15.752;7173.330;16632911;12571392
loot_vox10_1115.ply;success;788409;8436.783;15.521;8475.464;16685434;12614544
loot_vox10_1116.ply;success;785289;7725.612;4.483;7748.833;16617700;12564624
loot_vox10_1117.ply;success;784314;7308.270;10.517;7346.103;16600135;12549024
loot_vox10_1118.ply;success;784830;7215.665;6.664;7243.605;16611071;12557280
loot_vox10_1119.ply;success;784742;8057.186;15.550;8091.173;16609846;12555872
loot_vox10_1120.ply;success;787186;7287.955;5.848;7330.047;16659096;12594976
loot_vox10_1121.ply;success;792161;7447.759;5.183;7470.478;16759656;12674576
loot_vox10_1122.ply;success;788290;7281.629;6.761;7306.251;16682393;12612640
loot_vox10_1123.ply;success;789222;7285.371;5.435;7309.035;16706853;12627552
loot_vox10_1124.ply;success;787173;7710.537;5.138;7733.335;16675054;12594768
loot_vox10_1125.ply;success;776279;7301.022;8.078;7326.977;16460886;12420464
loot_vox10_1126.ply;success;773912;7401.772;4.476;7424.367;16422724;12382592
loot_vox10_1127.ply;success;773302;9745.157;8.841;9772.920;16423279;12372832
loot_vox10_1128.ply;success;777001;6907.026;7.480;6931.882;16507036;12432016
loot_vox10_1129.ply;success;783174;6826.559;13.232;6859.228;16640096;12530784
loot_vox10_1130.ply;success;786108;6926.416;15.660;6962.296;16720649;12577728
loot_vox10_1131.ply;success;785622;6844.938;15.759;6881.344;16736411;12569952
loot_vox10_1132.ply;success;787265;7074.726;13.664;7123.786;16802538;12596240
loot_vox10_1133.ply;success;787734;8045.567;4.203;8067.219;16851899;12603744
loot_vox10_1134.ply;success;786766;7638.104;8.760;7660.393;16862560;12588256
loot_vox10_1135.ply;success;787622;7010.500;5.710;7038.841;16904187;12601952
loot_vox10_1136.ply;success;784509;6890.134;6.135;6916.203;16865897;12552144
loot_vox10_1137.ply;success;782962;6887.221;7.057;6914.184;16856503;12527392
loot_vox10_1138.ply;success;785441;6917.771;4.310;6939.538;16929083;12567056
loot_vox10_1139.ply;success;786857;7002.202;5.663;7029.134;16980585;12589712
loot_vox10_1140.ply;success;786209;6831.613;7.940;6859.536;16984190;12579344
loot_vox10_1141.ply;success;785895;7209.091;6.169;7236.459;16993319;12574320
loot_vox10_1142.ply;success;783109;7866.917;4.188;7889.665;16947750;12529744
loot_vox10_1143.ply;success;783994;6981.891;15.081;7015.302;16974909;12543904
loot_vox10_1144.ply;success;785959;7034.343;16.112;7069.209;17021542;12575344
loot_vox10_1145.ply;success;789030;6887.052;9.501;6911.435;17095529;12624480
loot_vox10_1146.ply;success;794594;6969.522;9.003;6996.524;17215452;12713504
loot_vox10_1147.ply;success;797998;7689.391;8.454;7715.803;17296681;12767968
loot_vox10_1148.ply;success;798639;7065.131;8.355;7108.862;17322549;12778224
loot_vox10_1149.ply;success;796693;7297.574;7.108;7322.593;17289499;12747088
loot_vox10_1150.ply;success;794717;7292.387;13.583;7324.543;17250699;12715472
loot_vox10_1151.ply;success;792861;7063.464;5.001;7086.137;17211837;12685776
loot_vox10_1152.ply;success;792789;7514.904;6.994;7540.345;17210052;12684624
loot_vox10_1153.ply;success;792309;7102.072;4.864;7129.250;17194506;12676944
loot_vox10_1154.ply;success;791925;7107.086;5.070;7130.561;17177528;12670800
loot_vox10_1155.ply;success;793795;7034.189;6.311;7060.814;17210401;12700720
loot_vox10_1156.ply;success;793460;7184.161;7.312;7210.193;17196586;12695360
loot_vox10_1157.ply;success;795527;7228.638;8.327;7255.512;17239818;12728432
loot_vox10_1158.ply;success;798776;7154.325;20.833;7193.790;17309370;12780416
loot_vox10_1159.ply;success;799362;7061.427;27.331;7106.200;17321802;12789792
loot_vox10_1160.ply;success;789777;7033.295;16.223;7067.109;17117860;12636432
loot_vox10_1161.ply;success;790930;7066.878;7.162;7092.625;17152977;12654880
loot_vox10_1162.ply;success;793734;7062.384;8.427;7088.411;17224759;12699744
loot_vox10_1163.ply;success;792883;7057.862;8.282;7084.125;17216949;12686128
loot_vox10_1164.ply;success;791299;7070.058;15.923;7105.399;17193884;12660784
loot_vox10_1165.ply;success;789485;7124.598;6.910;7148.442;17165854;12631760
loot_vox10_1166.ply;success;789977;7268.916;7.405;7294.641;17181865;12639632
loot_vox10_1167.ply;success;791598;7238.423;6.953;7263.289;17217473;12665568
loot_vox10_1168.ply;success;795034;7159.440;15.996;7194.461;17288884;12720544
