frame_id;rx_complete;tx_complete;current_skip;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_media_bytes;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;arrived_points;eroded_points;valid_points;erosion_ms;reconstruction_ms;pose_ms;reconstruction_pipeline_ms;tx_duration_ms;active_tx_ms;active_process_ms;reference_process_ms;total_processing_ms;total_residency_ms;reference_residency_ms;node_efficiency_pct;reference_efficiency_pct;gpu_transfer_ms;gpu_copyback_ms;host_overhead_ms;camera_node_ms;e2e_latency_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;pose_control_ms;codec_queue_ms;frame_queue_ms;codec_backlog;decode_service_ms;decode_h265_ms;ffmpeg_write_calls;ffmpeg_write_failures;codec_queue_drops;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
13;1;1;1;0.000000;0.000000;1.000000;2432.203184;2432.290960;2432.434050;780926;26132;142868;20;3572;26132;28452;100.000;0.614;0.667;548.626;629.197;6.828;157785;151108;142868;0.231;0.117;0.073;2.847;2.750;0.634;35.618;32.796;143.048;143.090;140.315;24.892;23.373;2.025;0.285;0.117;87.776;230.866;165.815;29.325;4.008;2.655;0.000;0.041;0.000;19;30.022;137.425;2;0;0;0;0;0;0;0
14;1;1;1;0.000000;0.000000;1.000000;2432.235363;2432.333718;2432.472494;782770;26508;144928;21;3624;26508;28944;100.000;0.750;0.816;556.536;638.281;6.947;159421;153009;144928;0.180;0.109;0.065;2.050;1.928;0.474;44.045;42.052;138.734;138.776;136.832;31.738;30.733;1.414;0.190;0.093;98.355;237.131;170.926;42.758;9.425;3.078;0.000;0.042;0.000;20;40.067;134.738;2;0;0;0;0;0;0;0
15;1;1;1;0.000000;0.000000;1.000000;2432.267632;2432.369237;2432.506709;784474;27072;146044;21;3652;27072;29508;100.000;0.849;0.922;560.821;643.198;7.082;159965;153314;146044;0.180;0.108;0.066;2.074;2.214;0.450;38.185;35.906;137.441;137.471;135.237;27.777;26.550;1.434;0.193;0.093;101.606;239.077;171.807;35.519;2.186;3.022;0.000;0.031;0.000;12;33.898;133.132;4;0;0;0;0;0;0;0
16;1;1;1;0.000000;0.000000;1.000000;2432.303116;2432.401332;2432.537934;785193;131600;145822;100;3646;131600;143200;100.000;126.643;137.714;559.969;642.210;34.368;177968;156948;145822;0.180;0.108;0.066;2.052;2.200;0.534;35.515;33.250;136.567;136.602;134.388;25.999;24.742;1.415;0.192;0.092;98.216;234.818;169.699;32.094;1.239;2.911;0.000;0.035;0.000;44;31.264;132.299;4;0;0;0;0;0;0;0
17;1;1;1;0.000000;0.000000;1.000000;2432.334274;2432.442165;2432.574151;782720;28576;144126;22;3604;28576;31128;100.000;0.813;0.882;553.456;634.750;7.471;169127;155796;144126;0.179;0.108;0.065;2.031;2.258;0.509;40.465;38.143;131.939;131.987;129.713;30.659;29.405;1.416;0.189;0.076;107.890;239.877;172.583;40.833;7.500;3.198;0.000;0.048;0.000;19;36.176;127.633;3;0;0;0;0;0;0;0
18;1;1;1;0.000000;0.000000;1.000000;2432.368487;2432.477513;2432.611089;781613;23312;141930;18;3549;23312;25400;100.000;0.825;0.895;545.024;625.077;6.096;164376;152343;141930;0.182;0.108;0.066;2.578;1.895;0.516;41.213;39.252;133.524;133.576;131.655;30.853;29.814;1.827;0.269;0.126;109.026;242.603;176.188;35.348;2.015;3.124;0.000;0.053;0.001;17;36.740;129.022;2;0;0;0;0;0;0;0
19;1;1;1;0.000000;0.000000;1.000000;2432.400939;2432.508376;2432.638973;780006;22372;139740;17;3494;22372;24344;100.000;385.587;417.931;536.614;615.426;5.843;160684;150225;139740;0.228;0.112;0.069;3.691;2.040;0.561;32.347;30.239;130.545;130.597;128.538;24.769;23.525;2.671;0.180;0.432;107.438;238.034;170.738;30.863;2.470;3.083;0.000;0.052;0.000;14;26.616;124.780;2;0;0;0;0;0;0;0
20;1;1;1;0.000000;0.000000;1.000000;2432.434841;2432.545610;2432.677451;780302;22936;138346;18;3459;22936;25024;100.000;0.657;0.714;531.261;609.284;6.006;157894;148300;138346;0.185;0.107;0.063;2.140;2.270;0.666;44.206;41.872;131.796;131.841;129.552;33.530;32.320;1.490;0.220;0.075;110.769;242.610;175.883;37.234;3.900;3.134;0.000;0.045;0.000;17;39.796;127.367;2;0;0;0;0;0;0;0
21;1;1;1;0.000000;0.000000;1.000000;2432.468797;2432.580721;2432.713630;779066;25004;137844;19;3447;25004;27208;100.000;0.928;1.006;529.333;607.085;6.530;156303;147479;137844;0.180;0.104;0.063;2.428;1.937;0.581;40.587;38.587;130.936;132.909;130.955;30.537;29.466;1.728;0.248;0.104;111.924;244.833;178.729;35.111;1.778;3.049;0.000;1.973;0.000;18;36.222;126.552;2;0;0;0;0;0;0;0
22;1;1;1;0.000000;0.000000;1.000000;2432.502008;2432.607891;2432.740517;778280;25004;138092;19;3453;25004;27208;100.000;958.377;1039.197;530.286;608.173;6.530;156434;148303;138092;0.218;0.105;0.063;3.682;1.916;0.511;31.248;29.268;132.589;132.626;130.692;23.561;22.395;2.983;0.185;0.127;105.884;238.510;172.283;27.170;6.163;3.244;0.000;0.037;0.000;19;25.649;126.971;1;0;0;0;0;0;0;0
