frame_id;rx_complete;current_skip;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;arrived_points;eroded_points;valid_points;rx_points;rx_packets;payload_bytes;data_integrity_pct;internal_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;arrival_pct;erosion_pct;valid_pct;web_publish_ms;web_ack_ms;active_process_ms;total_residency_ms;node_efficiency_pct;camera_node_ms;e2e_latency_ms;reference_e2e_ms;schedule_delay_ms;instant_jitter_ms;desynced_jitter_ms;cmd_id;reference_cmd_ms;cmd_apply_ms;cmd_photon_ms;quality_save_ms;mean_error;geom_rmse;chamfer;hausdorff;mean_mm;rmse_mm;chamfer_mm;hausdorff_mm
220;1;1;0.000000;0.000000;1.000000;3278.777118;3279.012596;3279.017560;810783;167347;159967;150188;150188;1878;2403008;100.000;484.153;576.734;619.090;20.640;95.590;18.524;0.000;119.347;1.407;4.965;28.342;235.478;240.442;240.441;5.398;7.301;3.324;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
221;1;1;0.000000;-0.087266;1.000000;3278.809154;3279.046422;3279.052507;807088;165279;158034;149054;149054;1864;2384864;100.000;392.009;572.380;614.419;20.478;95.617;18.468;0.001;0.000;5.529;6.086;90.856;237.268;243.354;243.352;5.890;0.493;3.147;39;21.446;21.446;234.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
222;1;1;0.000000;-0.087266;1.000000;3278.842457;3279.088778;3279.090395;809369;163013;156002;147392;147392;1843;2358272;100.000;1458.676;565.998;607.563;20.141;95.699;18.211;0.000;0.000;1.185;1.617;73.246;246.320;247.938;247.937;14.913;9.023;3.514;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
223;1;1;0.000000;-0.087266;1.000000;3278.875870;3279.117900;3279.129870;795354;161178;154449;146064;146064;1826;2337024;100.000;195.259;560.898;602.080;20.265;95.825;18.365;0.000;138.568;11.137;11.970;93.045;242.030;254.000;253.999;10.702;4.211;3.558;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
224;1;1;0.000000;-0.087266;1.000000;3278.910707;3279.147797;3279.149743;795455;158529;152215;144466;144466;1806;2311456;100.000;1188.796;554.762;595.493;19.929;96.017;18.161;0.000;0.000;1.445;1.946;74.254;237.090;239.036;239.035;7.266;3.436;3.550;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
225;1;1;0.000000;-0.087266;1.000000;3278.942472;3279.188007;3279.189516;795720;157467;150957;143728;143728;1797;2299648;100.000;1525.831;551.928;592.456;19.789;95.866;18.063;0.001;0.000;1.100;1.509;72.931;245.535;247.044;247.042;14.142;6.876;3.758;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
226;1;1;0.000000;-0.087266;1.000000;3278.976480;3279.220247;3279.221917;798723;180302;156126;142930;142930;1787;2286880;100.000;1369.969;548.864;589.166;22.574;86.591;17.895;0.000;0.000;1.195;1.671;71.537;243.767;245.438;245.437;13.049;1.093;3.591;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
227;1;1;0.000000;-0.174533;1.000000;3279.011412;3279.244982;3279.264409;807441;170657;155545;142948;142948;1787;2287168;100.000;117.743;548.933;589.235;21.136;91.145;17.704;0.000;116.303;9.700;19.426;49.933;233.570;252.997;252.996;4.451;8.598;3.904;40;1.355;43.846;160.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
228;1;1;0.000000;-0.174533;1.000000;3279.043506;3279.283044;3279.292605;803316;169869;157188;143504;143504;1794;2296064;100.000;240.176;551.068;591.528;21.146;92.535;17.864;0.000;0.000;3.039;9.561;31.782;239.537;249.099;249.097;9.179;4.728;3.956;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
229;1;1;0.000000;-0.174533;1.000000;3279.075555;3279.322349;3279.324020;809074;168463;156991;144280;144280;1804;2308480;100.000;1381.738;554.048;594.733;20.822;93.190;17.833;0.000;0.000;1.231;1.671;73.627;246.794;248.465;248.465;15.151;5.972;4.082;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
230;1;1;0.000000;-0.174533;1.000000;3279.111078;3279.351188;3279.353218;808265;167861;157092;145334;145334;1817;2325344;100.000;1146.575;558.095;599.074;20.768;93.585;17.981;0.000;0.000;1.238;2.030;61.013;240.110;242.140;242.138;10.657;4.494;4.108;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
231;1;1;0.000000;-0.174533;1.000000;3279.143016;3279.380573;3279.382042;818848;167917;157945;147128;147128;1840;2354048;100.000;1603.815;564.984;606.482;20.506;94.061;17.968;0.000;118.090;1.088;1.469;74.062;237.557;239.025;239.024;6.708;3.949;4.098;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
232;1;1;0.000000;-0.261799;1.000000;3279.175174;3279.421489;3279.431818;820617;168482;159564;148796;148796;1860;2380736;100.000;230.527;571.389;613.338;20.531;94.707;18.132;0.000;0.000;9.641;10.329;93.343;246.315;256.644;256.643;14.291;7.583;4.315;41;1.255;51.031;212.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
233;1;1;0.000000;-0.261799;1.000000;3279.209349;3279.455620;3279.457271;814146;169273;161286;150842;150842;1886;2413472;100.000;1462.813;579.246;621.781;20.791;95.282;18.528;0.000;0.000;1.209;1.651;73.247;246.271;247.922;247.921;15.089;0.797;4.096;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
234;1;1;0.000000;-0.261799;1.000000;3279.243669;3279.482648;3279.500280;814852;170097;162603;152630;152630;1908;2442080;100.000;138.515;586.112;629.144;20.875;95.594;18.731;0.000;98.200;16.998;17.631;96.409;238.979;256.611;256.610;8.784;6.305;4.234;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
235;1;1;0.000000;-0.261799;1.000000;3279.277172;3279.511757;3279.513437;815725;170009;162826;153174;153174;1915;2450784;100.000;1459.500;588.201;631.391;20.841;95.775;18.778;0.000;0.000;1.234;1.680;73.453;234.584;236.264;236.264;4.559;4.225;4.233;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
236;1;1;0.000000;-0.261799;1.000000;3279.308504;3279.551811;3279.557456;816078;169135;162011;152808;152808;1911;2444928;100.000;433.232;586.795;629.895;20.725;95.788;18.725;0.000;0.000;2.019;5.645;35.759;243.307;248.952;248.950;11.279;6.721;4.389;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
237;1;1;0.000000;-0.349066;1.000000;3279.342771;3279.588045;3279.592618;810868;167479;160401;151650;151650;1896;2426400;100.000;530.626;582.348;625.110;20.654;95.774;18.702;0.000;76.623;4.042;4.574;88.383;245.274;249.847;249.847;14.180;2.900;4.296;42;5.661;40.824;139.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
238;1;1;0.000000;-0.349066;1.000000;3279.377018;3279.621040;3279.626714;801907;165317;158390;149972;149972;1875;2399552;100.000;423.022;575.905;618.192;20.615;95.810;18.702;0.001;0.000;1.273;5.674;22.442;244.021;249.695;249.694;13.842;0.338;4.048;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
