frame_id;rx_complete;current_skip;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;arrived_points;eroded_points;valid_points;rx_points;rx_packets;payload_bytes;data_integrity_pct;internal_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;arrival_pct;erosion_pct;valid_pct;web_publish_ms;web_ack_ms;active_process_ms;total_residency_ms;node_efficiency_pct;camera_node_ms;e2e_latency_ms;reference_e2e_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;cmd_id;reference_cmd_ms;cmd_apply_ms;cmd_photon_ms;quality_save_ms;mean_error;geom_rmse;chamfer;hausdorff;mean_mm;rmse_mm;chamfer_mm;hausdorff_mm
146;1;1;0.000000;0.000000;1.000000;3111.748668;3112.187718;3112.188827;789030;159671;152861;145716;145716;1822;2331456;100.000;2104.007;559.562;600.654;20.236;95.735;18.468;0.000;48.737;0.646;1.109;58.304;439.050;440.159;440.158;13214.210;125.610;92.277;89.410;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
147;1;1;0.000000;0.000000;1.000000;3111.867157;3112.312688;3112.314081;794594;161066;154262;147238;147238;1841;2355808;100.000;1692.691;565.406;606.927;20.270;95.776;18.530;0.000;53.689;0.626;1.392;44.929;445.531;446.924;446.923;13306.131;124.970;91.637;89.549;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
148;1;1;0.000000;0.000000;1.000000;3111.992997;3112.432230;3112.433344;797998;160574;153931;146864;146864;1836;2349824;100.000;2111.203;563.970;605.378;20.122;95.863;18.404;0.000;41.253;0.639;1.114;57.399;439.233;440.346;440.346;13392.061;119.542;86.208;89.340;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
149;1;1;0.000000;0.000000;1.000000;3112.118318;3112.564625;3112.566021;798639;161702;155097;147738;147738;1847;2363808;100.000;1693.373;567.326;608.982;20.247;95.915;18.499;0.000;55.155;0.672;1.397;48.071;446.307;447.704;447.703;13491.405;132.395;99.061;89.948;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
150;1;1;0.000000;0.000000;1.000000;3112.243461;3112.696070;3112.697204;796693;161771;155326;148090;148090;1852;2369440;100.000;2090.984;568.678;610.447;20.305;96.016;18.588;0.000;52.013;0.643;1.134;56.749;452.609;453.743;453.743;13589.254;131.446;98.112;90.458;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
151;1;1;0.000000;0.000000;1.000000;3112.361618;3112.846823;3112.848211;794717;182724;160766;147952;147952;1850;2367232;100.000;1706.063;568.148;609.872;22.992;87.983;18.617;0.000;47.497;0.658;1.389;47.385;485.205;486.594;486.593;13706.928;150.753;117.420;92.143;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
152;1;1;0.000000;0.000000;1.000000;3112.495434;3112.982263;3112.983384;792861;177426;162397;148152;148152;1852;2370432;100.000;2117.245;568.916;610.685;22.378;91.529;18.686;0.000;52.746;0.652;1.120;58.188;486.829;487.950;487.949;13808.767;135.440;102.107;92.766;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
153;1;1;0.000000;0.000000;1.000000;3112.626911;3113.105318;3113.106730;792789;172400;160692;147662;147662;1846;2362592;100.000;1673.485;567.035;608.668;21.746;93.209;18.626;0.000;48.683;0.656;1.413;46.427;478.407;479.820;479.819;13898.781;123.055;89.721;92.576;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
154;1;1;0.000000;0.000000;1.000000;3112.778944;3113.235723;3113.236854;792309;170339;159188;147945;147945;1850;2367120;100.000;2093.129;568.121;609.845;21.499;93.454;18.673;0.000;67.898;0.638;1.131;56.362;456.779;457.910;457.910;13995.571;130.405;97.072;92.857;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
155;1;1;0.000000;0.000000;1.000000;3112.913531;3113.353468;3113.354605;791925;168591;158413;147762;147762;1848;2364192;100.000;2079.859;567.419;609.097;21.289;93.963;18.659;0.000;45.109;0.661;1.137;58.101;439.938;441.075;441.075;14079.989;117.745;84.412;92.329;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
156;1;1;0.000000;0.000000;1.000000;3113.036461;3113.477409;3113.478808;793795;167879;158079;148592;148592;1858;2377472;100.000;1700.404;570.606;612.510;21.149;94.162;18.719;0.000;50.075;0.616;1.399;44.012;440.949;442.347;442.347;14170.859;123.941;90.608;92.221;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
157;1;1;0.000000;0.000000;1.000000;3113.167467;3113.613797;3113.614922;793460;166756;157719;148650;148650;1859;2378400;100.000;2114.073;570.828;612.755;21.016;94.581;18.734;0.000;44.952;0.647;1.125;57.460;446.330;447.456;447.455;14273.639;136.387;103.054;92.898;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
158;1;1;0.000000;0.000000;1.000000;3113.284331;3113.740918;3113.742294;795527;165007;157250;147554;147554;1845;2360864;100.000;1716.734;566.620;608.231;20.742;95.299;18.548;0.000;47.427;0.730;1.376;53.047;456.587;457.963;457.963;14367.678;127.121;93.788;92.954;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
159;1;1;0.000000;0.000000;1.000000;3113.408731;3113.862248;3113.863365;798776;161998;154482;146024;146024;1826;2336384;100.000;2093.233;560.745;601.927;20.281;95.360;18.281;0.000;44.741;0.643;1.117;57.565;453.517;454.634;454.634;14455.415;121.330;87.997;92.644;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
