frame_id;selected;tx_complete;current_skip;last_control_frame;temporal_control_ms;camera_send_timestamp;tx_start_timestamp;inter_departure_ms;tx_points;tx_packets;payload_bytes;reference_size_bytes;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;disk_io_ms;serialization_ms;tx_duration_ms;active_tx_ms;active_process_ms;total_residency_ms;node_efficiency_pct;reference_efficiency_pct;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
254;1;1;1;0;0.000;2440.237446;2440.241270;32.880;812416;20311;12998656;12998656;945.500;945.500;3119.687;3519.398;3119.687;5.731;3.823;13.748;5.753;23.302;23.303;99.998;83.592;4731;0;4731;151167;0
255;1;1;1;0;0.000;2440.269721;2440.275689;34.419;815874;20397;13053984;13053984;791.786;791.786;3132.966;3534.369;3132.966;4.676;5.966;16.487;6.689;27.130;27.131;99.994;78.003;5992;0;5992;191250;0
256;1;1;1;0;0.000;2440.301887;2440.305440;29.751;811813;20296;12989008;12989008;647.440;647.440;3117.372;3516.787;3117.372;3.507;3.553;20.062;7.656;27.123;27.123;99.999;86.899;12004;0;12004;383576;0
257;1;1;1;0;0.000;2440.334845;2440.337319;31.879;809323;20234;12949168;12949168;710.927;710.927;3107.810;3506.005;3107.810;3.134;2.474;18.215;6.881;23.822;23.823;99.999;89.613;10918;0;10918;348738;0
258;1;1;1;0;0.000;2440.368756;2440.371107;33.787;806066;20152;12897056;12897056;621.334;621.334;3095.303;3491.885;3095.303;3.711;2.351;20.757;7.827;26.819;26.819;99.999;91.235;10056;0;10056;321504;0
259;1;1;1;0;0.000;2440.401893;2440.404915;33.808;803994;20100;12863904;12863904;904.139;904.139;3087.347;3482.905;3087.347;3.513;3.022;14.228;5.946;20.763;20.764;99.999;85.445;6273;0;6273;200064;0
260;1;1;1;0;0.000;2440.435134;2440.437932;33.017;804675;20117;12874800;12874800;984.637;984.637;3089.962;3485.855;3089.962;3.422;2.798;13.076;5.448;19.295;19.296;99.999;85.498;6421;0;6421;205274;0
261;1;1;1;0;0.000;2440.468294;2440.470830;32.898;803023;20076;12848368;12848368;930.375;930.375;3083.618;3478.704;3083.618;3.248;2.536;13.810;5.663;19.594;19.594;99.999;87.058;5348;0;5348;170556;0
262;1;1;1;0;0.000;2440.502290;2440.504840;34.011;804900;20123;12878400;12878400;1053.614;1053.614;3090.826;3486.837;3090.826;3.910;2.550;12.223;5.311;18.683;18.684;99.997;86.351;5922;0;5922;189429;0
263;1;1;1;0;0.000;2440.536682;2440.539885;35.044;801032;20026;12816512;12816512;1020.953;1020.953;3075.972;3470.075;3075.972;4.968;3.202;12.554;5.450;20.723;20.724;99.996;84.545;5510;0;5510;176224;0
264;1;1;1;0;0.000;2440.569490;2440.572531;32.647;793638;19841;12698208;12698208;884.098;884.098;3047.580;3438.041;3047.580;4.444;3.041;14.363;6.088;21.848;21.849;99.998;86.077;5029;0;5029;159967;0
