frame_id;rx_complete;tx_complete;current_skip;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_media_bytes;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;arrived_points;eroded_points;valid_points;erosion_ms;reconstruction_ms;pose_ms;reconstruction_pipeline_ms;tx_duration_ms;active_tx_ms;active_process_ms;reference_process_ms;total_processing_ms;total_residency_ms;reference_residency_ms;node_efficiency_pct;reference_efficiency_pct;gpu_transfer_ms;gpu_copyback_ms;host_overhead_ms;camera_node_ms;e2e_latency_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;pose_control_ms;codec_queue_ms;frame_queue_ms;codec_backlog;decode_service_ms;decode_h265_ms;ffmpeg_write_calls;ffmpeg_write_failures;codec_queue_drops;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
13;1;1;1;0.000000;0.000000;1.000000;3116.209640;3116.272913;3116.406310;780926;26132;142868;20;1786;26132;28452;100.000;0.755;0.819;548.626;588.905;6.828;157785;151108;142868;1.217;0.113;0.070;4.139;0.962;0.058;38.020;36.988;133.367;133.397;132.412;28.501;27.934;1.482;0.188;1.070;63.274;196.670;110.225;33.950;0.617;1.168;0.000;0.030;0.001;13;32.919;128.241;3;0;0;0;0;0;0;0
14;1;1;1;0.000000;0.000000;1.000000;3116.242600;3116.308167;3116.438252;782770;26696;144928;21;1812;26696;29132;100.000;0.836;0.910;556.536;597.402;6.992;159421;153009;144928;0.192;0.113;0.070;2.387;1.323;0.315;37.045;35.653;130.071;130.085;128.746;28.478;27.693;1.639;0.261;0.113;65.567;195.652;108.833;35.253;1.920;1.215;0.000;0.015;0.000;11;33.336;126.343;5;0;0;0;0;0;0;0
15;1;1;1;0.000000;0.000000;1.000000;3116.276740;3116.340264;3116.473490;784474;27260;146044;21;1826;27260;29696;100.000;0.831;0.902;560.821;602.004;7.127;159965;153314;146044;0.227;0.108;0.066;4.606;1.302;0.072;38.932;37.565;133.180;133.226;131.896;29.223;28.480;1.666;1.210;1.330;63.524;196.750;110.738;32.097;1.236;1.216;0.000;0.046;0.000;20;33.024;127.242;2;0;0;0;0;0;0;0
16;1;1;1;0.000000;0.000000;1.000000;3116.309264;3116.373316;3116.507583;785193;131788;145822;101;1823;131788;143504;100.000;4.144;4.509;559.969;601.083;34.441;177968;156948;145822;0.227;0.109;0.068;3.019;1.282;0.070;40.008;38.658;134.165;134.267;132.968;29.798;29.074;1.458;0.195;0.962;64.053;198.320;111.498;33.053;0.281;1.158;0.000;0.102;0.000;52;35.707;129.845;4;0;0;0;0;0;0;0
17;1;1;1;0.000000;0.000000;1.000000;3116.342687;3116.405174;3116.538883;782720;28764;144126;22;1802;28764;31316;100.000;0.838;0.909;553.456;594.097;7.516;169127;155796;144126;0.240;0.111;0.070;2.440;1.421;0.381;35.592;34.101;133.663;133.709;132.267;26.619;25.782;1.659;0.198;0.163;62.487;196.196;109.464;31.857;1.476;1.178;0.000;0.047;0.000;21;31.731;129.778;2;0;0;0;0;0;0;0
18;1;1;1;0.000000;0.000000;1.000000;3116.376052;3116.439670;3116.571482;781613;23124;141930;18;1775;23124;25212;100.000;0.706;0.767;545.024;585.055;6.051;164376;152343;141930;0.197;0.111;0.068;2.586;1.115;0.061;36.460;35.278;131.777;131.812;130.680;27.661;26.996;1.568;0.185;0.458;63.617;195.429;108.729;34.496;1.163;1.177;0.000;0.035;0.000;14;32.760;128.059;3;0;0;0;0;0;0;0
19;1;1;1;0.000000;0.000000;1.000000;3116.409221;3116.472574;3116.603486;780006;22184;139740;17;1747;22184;24156;100.000;0.664;0.721;536.614;576.014;5.797;160684;150225;139740;0.192;0.110;0.069;2.175;1.611;0.437;35.684;34.005;130.882;130.912;129.276;27.258;26.304;1.413;0.293;0.099;63.354;194.266;107.401;32.905;0.429;1.130;0.000;0.030;0.000;10;31.898;127.059;4;0;0;0;0;0;0;0
20;1;1;1;0.000000;0.000000;1.000000;3116.442428;3116.506133;3116.638055;780302;22748;138346;18;1730;22748;24836;100.000;0.675;0.734;531.261;570.277;5.961;157894;148300;138346;0.239;0.112;0.073;2.261;1.844;0.117;38.355;36.439;131.901;131.922;130.057;29.074;28.018;1.453;0.303;0.081;63.705;195.627;108.636;33.558;0.225;1.073;0.000;0.022;0.000;9;34.251;127.772;4;0;0;0;0;0;0;0
21;1;1;1;0.000000;0.000000;1.000000;3116.476015;3116.540017;3116.671805;779066;24816;137844;19;1724;24816;27020;100.000;0.781;0.847;529.333;568.214;6.485;156303;147479;137844;0.198;0.110;0.068;2.788;1.377;0.379;37.851;36.407;131.747;131.788;130.387;28.721;27.922;1.471;0.181;0.760;64.002;195.790;109.053;33.884;0.551;1.041;0.000;0.041;0.000;14;33.686;127.558;4;0;0;0;0;0;0;0
22;1;1;1;0.000000;0.000000;1.000000;3116.509663;3116.571967;3116.703685;778280;25004;138092;19;1727;25004;27208;100.000;702.255;761.476;530.286;569.234;6.530;156434;148303;138092;0.184;0.109;0.069;2.278;1.425;0.089;36.037;34.543;131.694;131.718;130.263;27.359;26.518;1.508;0.287;0.121;62.304;194.022;107.600;31.950;1.383;1.062;0.000;0.025;0.000;10;32.334;127.960;2;0;0;0;0;0;0;0
23;1;1;1;0.000000;0.000000;1.000000;3116.542287;3116.605564;3116.738726;778907;26132;138240;20;1728;26132;28452;100.000;0.744;0.807;530.854;569.825;6.828;155826;148511;138240;0.190;0.111;0.067;2.476;1.267;0.081;38.738;37.405;133.121;133.162;131.862;29.091;28.367;1.627;0.282;0.199;63.277;196.439;109.307;33.597;0.264;1.012;0.000;0.041;0.000;19;34.995;129.343;2;0;0;0;0;0;0;0
24;1;1;1;0.000000;0.000000;1.000000;3116.575874;3116.640878;3116.771877;779289;23876;138556;19;1732;23876;26080;100.000;0.778;0.847;532.068;571.129;6.259;155133;147900;138556;0.194;0.109;0.067;2.390;1.288;0.345;36.908;35.553;130.974;130.999;129.694;28.174;27.413;1.673;0.180;0.167;65.004;196.003;109.125;35.314;1.980;1.073;0.000;0.024;0.000;9;33.230;127.279;4;0;0;0;0;0;0;0
25;1;1;1;0.000000;0.000000;1.000000;3116.609313;3116.671685;3116.806273;779739;25192;138952;20;1737;25192;27512;100.000;0.733;0.798;533.588;572.762;6.603;154951;148061;138952;0.193;0.106;0.066;2.900;0.786;0.047;38.072;37.221;134.556;134.588;133.786;28.288;27.821;1.425;0.183;0.927;62.372;196.960;110.188;30.807;2.526;1.164;0.000;0.033;0.000;20;34.386;130.852;2;0;0;0;0;0;0;0
26;1;1;1;0.000000;0.000000;1.000000;3116.642157;3116.706250;3116.838526;779364;26320;139454;20;1744;26320;28640;100.000;588.977;638.757;535.516;574.848;6.874;155091;148214;139454;0.186;0.110;0.069;2.160;1.733;0.509;35.918;34.117;132.226;132.276;130.508;27.154;26.141;1.414;0.275;0.107;64.093;196.369;109.107;34.565;1.232;1.168;0.000;0.050;0.000;19;32.025;128.297;2;0;0;0;0;0;0;0
27;1;1;1;0.000000;0.000000;1.000000;3116.675942;3116.741002;3116.874704;780025;26320;140520;20;1757;26320;28640;100.000;0.850;0.922;539.609;579.235;6.874;155666;148911;140520;0.222;0.104;0.066;3.684;1.464;0.079;40.075;38.545;133.675;133.702;132.210;29.973;29.155;1.357;0.187;1.748;65.060;198.762;111.952;34.752;1.419;1.184;0.000;0.027;0.000;13;34.927;128.497;3;0;0;0;0;0;0;0
28;1;1;1;0.000000;0.000000;1.000000;3116.709194;3116.772130;3116.906314;780373;26696;141820;21;1773;26696;29132;100.000;0.808;0.878;544.601;584.588;6.992;156450;150058;141820;0.240;0.110;0.068;2.604;1.319;0.382;36.758;35.372;134.169;134.184;132.840;27.394;26.627;1.596;0.187;0.403;62.936;197.120;110.228;31.128;2.206;1.247;0.000;0.015;0.000;14;32.836;130.220;3;0;0;0;0;0;0;0
29;1;1;1;0.000000;0.000000;1.000000;3116.742113;3116.805331;3116.939940;781651;28012;143812;22;1798;28012;30564;100.000;0.794;0.864;552.251;592.801;7.335;158178;151821;143812;1.112;0.108;0.068;4.190;1.068;0.068;37.537;36.401;134.565;134.609;133.522;27.886;27.262;1.630;0.191;1.082;63.218;197.828;110.521;33.201;0.132;1.178;0.000;0.045;0.001;20;32.278;129.270;3;0;0;0;0;0;0;0
30;1;1;1;0.000000;0.000000;1.000000;3116.775947;3116.840786;3116.971915;781375;26508;144756;21;1810;26508;28944;100.000;0.808;0.879;555.876;596.697;6.947;158959;152458;144756;0.189;0.110;0.068;2.222;1.542;0.099;37.224;35.614;131.077;131.130;129.561;28.387;27.488;1.435;0.308;0.113;64.839;195.968;109.163;35.455;2.121;1.237;0.000;0.053;0.000;19;33.459;127.285;2;0;0;0;0;0;0;0
31;1;1;1;0.000000;0.000000;1.000000;3116.809171;3116.873877;3117.004891;784392;130848;143948;100;1800;130848;142448;100.000;3.989;4.339;552.773;593.368;34.188;176776;155937;143948;0.192;0.110;0.069;2.545;1.294;0.354;36.739;35.376;130.967;131.014;129.695;28.042;27.276;1.594;0.189;0.392;64.705;195.720;108.805;33.091;0.242;1.175;0.000;0.047;0.000;37;32.900;127.102;6;0;0;0;0;0;0;0
32;1;1;1;0.000000;0.000000;1.000000;3116.842239;3116.906783;3117.038610;782671;28764;141972;22;1775;28764;31316;100.000;0.905;0.982;545.185;585.216;7.516;167802;154013;141972;0.190;0.110;0.069;2.181;1.136;0.064;37.555;36.350;131.806;131.827;130.667;28.488;27.819;1.421;0.284;0.108;64.544;196.371;109.191;32.906;0.427;1.128;0.000;0.021;0.000;14;34.238;128.462;3;0;0;0;0;0;0;0
33;1;1;1;0.000000;0.000000;1.000000;3116.876476;3116.938701;3117.072537;776999;23688;139814;18;1748;23688;25776;100.000;0.669;0.725;536.898;576.321;6.186;162473;151153;139814;0.195;0.110;0.068;2.927;1.453;0.457;37.242;35.721;133.830;133.837;132.360;27.827;26.988;1.397;0.183;0.974;62.225;196.061;109.785;31.918;1.415;1.146;0.000;0.007;0.000;4;32.862;129.426;7;0;0;0;0;0;0;0
34;1;1;1;0.000000;0.000000;1.000000;3116.909308;3116.974301;3117.103691;778650;22936;137648;18;1721;22936;25024;100.000;0.739;0.803;528.581;567.394;6.006;157983;147475;137648;0.193;0.108;0.065;2.216;1.526;0.096;35.515;33.925;129.359;129.390;127.825;27.448;26.540;1.446;0.296;0.109;64.993;194.383;107.606;35.601;2.267;1.216;0.000;0.031;0.000;10;31.773;125.577;4;0;0;0;0;0;0;0
35;1;1;1;0.000000;0.000000;1.000000;3116.943275;3117.005498;3117.141430;778007;23312;137154;18;1715;23312;25400;100.000;0.673;0.731;526.684;565.362;6.096;156457;146475;137154;0.186;0.109;0.070;2.881;1.626;0.560;41.500;39.804;135.910;135.931;134.288;30.530;29.641;1.432;0.187;0.898;62.223;198.154;112.011;31.197;2.136;1.273;0.000;0.021;0.000;11;36.992;131.385;3;0;0;0;0;0;0;0
36;1;1;1;0.000000;0.000000;1.000000;3116.975341;3117.040310;3117.171948;776483;24816;138046;19;1726;24816;27020;100.000;0.798;0.866;530.109;569.035;6.485;155937;147008;138046;0.193;0.110;0.069;2.379;1.147;0.064;35.006;33.791;131.595;131.638;130.457;26.593;25.902;1.618;0.281;0.108;64.969;196.607;109.196;34.812;1.478;1.286;0.000;0.043;0.000;18;31.480;128.033;2;0;0;0;0;0;0;0
37;1;1;1;0.000000;0.000000;1.000000;3117.009185;3117.071551;3117.205517;781287;26508;139346;21;1742;26508;28944;100.000;0.771;0.839;535.101;574.388;6.947;157460;149487;139346;0.198;0.110;0.067;3.228;1.189;0.068;37.107;35.852;133.921;133.966;132.758;27.699;27.005;1.399;0.178;1.277;62.365;196.331;109.431;31.241;2.093;1.337;0.000;0.045;0.000;20;32.691;129.485;2;0;0;0;0;0;0;0
38;1;1;1;0.000000;0.000000;1.000000;3117.042312;3117.106098;3117.238187;780329;28200;141098;22;1764;28200;30752;100.000;0.844;0.918;541.829;581.612;7.380;157637;150141;141098;0.187;0.108;0.069;2.206;1.709;0.677;37.075;35.297;132.070;132.089;130.351;28.068;27.078;1.450;0.290;0.103;63.786;195.875;108.768;34.547;1.214;1.329;0.000;0.019;0.000;4;33.159;128.124;9;0;0;0;0;0;0;0
39;1;1;1;0.000000;0.000000;1.000000;3117.075911;3117.139677;3117.271354;780785;29140;142238;23;1778;29140;31808;100.000;0.861;0.937;546.206;586.306;7.634;158178;150818;142238;0.190;0.109;0.067;2.466;1.059;0.057;37.079;35.953;131.639;131.677;130.601;28.159;27.529;1.798;0.212;0.091;63.767;195.443;108.602;33.579;0.246;1.261;0.000;0.038;0.000;14;33.554;128.083;4;0;0;0;0;0;0;0
40;1;1;1;0.000000;0.000000;1.000000;3117.109789;3117.173687;3117.306706;785430;29892;143844;23;1799;29892;32560;100.000;0.946;1.027;552.373;592.946;7.814;159340;152098;143844;0.191;0.109;0.066;2.368;1.467;0.421;38.872;37.339;132.985;133.019;131.532;29.223;28.388;1.742;0.189;0.071;63.899;196.917;110.620;34.010;0.677;1.225;0.000;0.034;0.000;11;35.037;129.130;4;0;0;0;0;0;0;0
