frame_id;selected;tx_complete;current_skip;last_control_frame;temporal_control_ms;camera_send_timestamp;tx_start_timestamp;inter_departure_ms;tx_points;tx_packets;payload_bytes;reference_size_bytes;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;disk_io_ms;serialization_ms;tx_duration_ms;active_tx_ms;active_process_ms;total_residency_ms;node_efficiency_pct;reference_efficiency_pct;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
217;1;1;1;0;0.000;3120.804270;3120.806425;133.254;810355;10130;12965680;12965680;1943.012;1943.012;3111.773;3311.122;3111.773;124.485;2.154;6.673;2.180;133.312;133.313;99.999;98.384;1987;0;1987;63220;0
218;1;1;1;0;0.000;3120.926441;3120.928685;122.261;810211;10128;12963376;12963376;1952.525;1952.525;3111.220;3310.529;3111.220;113.341;2.244;6.639;2.357;122.224;122.225;100.000;98.163;1268;0;1268;40160;0
219;1;1;1;0;0.000;3121.044218;3121.046403;117.718;808645;10109;12938320;12938320;1863.848;1863.848;3105.206;3304.142;3105.206;108.891;2.184;6.942;2.180;118.017;118.018;99.999;98.148;1691;0;1691;54052;0
220;1;1;1;0;0.000;3121.175787;3121.178056;131.653;810783;10135;12972528;12972528;1945.186;1945.186;3113.416;3312.864;3113.416;122.440;2.269;6.669;2.139;131.378;131.378;100.000;98.273;1504;0;1504;47903;0
221;1;1;1;0;0.000;3121.303343;3121.305484;127.428;807088;10089;12913408;12913408;1936.121;1936.121;3099.228;3297.769;3099.228;118.616;2.140;6.670;2.150;127.426;127.426;99.999;98.320;2065;0;2065;65367;0
222;1;1;1;0;0.000;3121.461980;3121.464130;158.646;809369;10118;12949904;12949904;2033.935;2033.935;3107.987;3307.099;3107.987;149.824;2.149;6.367;2.159;158.340;158.341;100.000;98.642;1558;0;1558;49076;0
223;1;1;1;0;0.000;3121.603805;3121.605921;141.791;795354;9942;12725664;12725664;1956.597;1956.597;3054.169;3249.818;3054.169;133.306;2.116;6.504;2.101;141.925;141.926;100.000;98.509;1980;0;1980;63150;0
224;1;1;1;0;0.000;3121.725435;3121.727741;121.820;795455;9944;12727280;12727280;2019.164;2019.164;3054.557;3250.245;3054.557;113.007;2.306;6.303;2.060;121.616;121.617;99.999;98.103;1317;0;1317;41952;0
225;1;1;1;0;0.000;3121.848211;3121.850728;122.987;795720;9947;12731520;12731520;2008.052;2008.052;3055.574;3251.322;3055.574;114.165;2.516;6.340;2.156;123.022;123.022;99.999;97.954;1371;0;1371;43757;0
226;1;1;1;0;0.000;3121.971455;3121.973627;122.899;798723;9985;12779568;12779568;1885.671;1885.671;3067.106;3263.601;3067.106;114.385;2.171;6.777;2.217;123.333;123.334;99.999;98.239;1991;0;1991;62658;0
227;1;1;1;0;0.000;3122.092180;3122.094595;120.968;807441;10094;12919056;12919056;2047.034;2047.034;3100.583;3299.223;3100.583;111.773;2.415;6.311;2.087;120.499;120.499;99.999;97.995;1771;0;1771;56150;0
228;1;1;1;0;0.000;3122.206579;3122.208788;114.193;803316;10042;12853056;12853056;1824.722;1824.722;3084.743;3282.360;3084.743;105.671;2.209;7.044;2.296;114.923;114.924;100.000;98.078;1718;0;1718;54850;0
229;1;1;1;0;0.000;3122.340120;3122.342264;133.476;809074;10114;12945184;12945184;2034.703;2034.703;3106.854;3305.888;3106.854;124.286;2.144;6.362;2.096;132.792;132.793;99.999;98.385;1757;0;1757;55264;0
230;1;1;1;0;0.000;3122.460728;3122.462917;120.653;808265;10104;12932240;12932240;1884.133;1884.133;3103.747;3302.584;3103.747;112.097;2.188;6.864;2.182;121.150;121.150;99.999;98.193;1944;0;1944;62008;0
231;1;1;1;0;0.000;3122.590000;3122.592210;129.293;818848;10236;13101568;13101568;2019.205;2019.205;3144.386;3345.821;3144.386;120.216;2.209;6.488;2.091;128.914;128.915;99.999;98.285;1720;0;1720;54952;0
232;1;1;1;0;0.000;3122.727128;3122.729338;137.128;820617;10258;13129872;13129872;1931.531;1931.531;3151.179;3353.047;3151.179;127.399;2.209;6.798;2.207;136.406;136.407;99.999;98.380;2112;0;2112;67206;0
233;1;1;1;0;0.000;3122.864473;3122.866631;137.293;814146;10177;13026336;13026336;1981.819;1981.819;3126.330;3326.604;3126.330;127.322;2.157;6.573;2.131;136.052;136.053;99.999;98.414;1765;0;1765;55674;0
234;1;1;1;0;0.000;3123.030998;3123.033152;166.522;814852;10186;13037632;13037632;1934.429;1934.429;3129.041;3329.492;3129.041;157.792;2.154;6.740;2.179;166.686;166.686;100.000;98.708;2080;0;2080;65878;0
235;1;1;1;0;0.000;3123.222353;3123.224631;191.479;815725;10197;13051600;13051600;1969.144;1969.144;3132.394;3333.061;3132.394;182.444;2.278;6.628;2.138;191.350;191.351;100.000;98.809;1623;0;1623;51672;0
236;1;1;1;0;0.000;3123.355302;3123.357654;133.023;816078;10201;13057248;13057248;1827.679;1827.679;3133.749;3334.495;3133.749;124.040;2.352;7.144;2.278;133.536;133.537;99.999;98.238;1491;0;1491;47551;0
237;1;1;1;0;0.000;3123.535837;3123.537969;180.315;810868;10136;12973888;12973888;2029.766;2029.766;3113.743;3313.210;3113.743;171.037;2.131;6.392;2.152;179.560;179.561;100.000;98.813;1574;0;1574;50176;0
238;1;1;1;0;0.000;3123.657888;3123.660154;122.185;801907;10024;12830512;12830512;1862.914;1862.914;3079.332;3276.595;3079.332;113.525;2.265;6.887;2.132;122.677;122.678;100.000;98.153;1485;0;1485;46704;0
