frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;geometry_aggregation_ms;max_r_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
136;1;1;1;6060.925572;6060.928947;6060.946744;787622;787622;787622;9846;9846;12601952;12601992;100.000;989.632;708.114;3024.478;3397.829;3024.478;17.775;1.875;11.403;6.028;2.817;32.136;14.339;17.797;64.076;55.379;3.375;19.600;2.721;1.004;0;0;0;0;0;0;0;0
137;1;1;1;6060.959208;6060.963530;6060.980006;784509;784509;784509;9807;9807;12552144;12552184;100.000;1103.237;761.830;3012.524;3384.396;3012.524;16.425;1.233;10.648;5.954;2.834;33.262;16.786;16.476;64.625;49.535;4.322;19.529;1.249;1.019;0;0;0;0;0;0;0;0
138;1;1;1;6060.992261;6060.996228;6061.013020;782962;782962;782962;9788;9788;12527392;12527432;100.000;1059.012;746.024;3006.584;3377.735;3006.584;16.773;1.562;10.845;5.834;2.809;33.014;16.222;16.792;64.582;50.864;3.967;19.210;0.635;0.995;0;0;0;0;0;0;0;0
139;1;1;1;6061.025493;6061.029741;6061.046571;785441;785441;785441;9819;9819;12567056;12567096;100.000;1093.510;746.715;3016.103;3388.430;3016.103;16.814;1.250;10.901;6.132;2.893;33.551;16.721;16.830;64.770;50.162;4.249;19.428;0.180;0.944;0;0;0;0;0;0;0;0
140;1;1;1;6061.058829;6061.062728;6061.079673;786857;786857;786857;9836;9836;12589712;12589752;100.000;1063.542;742.964;3021.540;3394.512;3021.540;16.929;1.121;10.657;6.031;2.822;33.102;16.157;16.945;62.890;51.191;3.899;19.196;0.347;0.907;0;0;0;0;0;0;0;0
141;1;1;1;6061.091904;6061.096003;6061.113182;786209;786209;786209;9828;9828;12579344;12579384;100.000;1040.142;732.269;3019.052;3391.720;3019.052;17.149;1.975;11.434;5.991;2.838;33.509;16.330;17.179;66.559;51.266;4.100;19.372;0.058;0.854;0;0;0;0;0;0;0;0
142;1;1;1;6061.125673;6061.129800;6061.146252;785895;785895;785895;9824;9824;12574320;12574360;100.000;1098.687;764.294;3017.846;3390.363;3017.846;16.430;1.231;10.553;5.917;2.774;33.070;16.618;16.452;64.140;49.750;4.127;19.109;0.463;0.829;0;0;0;0;0;0;0;0
143;1;1;1;6061.158658;6061.162744;6061.179089;783109;783109;783109;9789;9789;12529744;12529784;100.000;1097.305;766.592;3007.148;3378.337;3007.148;16.329;1.703;10.879;5.840;2.747;32.837;16.492;16.345;66.562;49.776;4.086;18.612;0.389;0.802;0;0;0;0;0;0;0;0
144;1;1;1;6061.192153;6061.196356;6061.212518;783994;783994;783994;9800;9800;12543904;12543944;100.000;1120.813;776.106;3010.547;3382.153;3010.547;16.147;1.168;10.422;5.828;2.802;33.429;17.267;16.163;64.479;48.349;4.203;18.708;0.278;0.769;0;0;0;0;0;0;0;0
145;1;1;1;6061.225528;6061.229549;6061.246036;785959;785959;785959;9825;9825;12575344;12575384;100.000;1092.856;762.731;3018.092;3390.647;3018.092;16.472;1.268;10.568;5.835;2.804;33.518;17.031;16.487;64.095;49.189;4.022;18.893;0.140;0.730;0;0;0;0;0;0;0;0
146;1;1;1;6061.258713;6061.262496;6061.279189;789030;789030;789030;9863;9863;12624480;12624520;100.000;1091.124;756.254;3029.885;3403.880;3029.885;16.676;1.798;11.223;5.955;2.843;33.153;16.459;16.693;67.228;50.353;3.783;18.713;0.387;0.708;0;0;0;0;0;0;0;0
147;1;1;1;6061.292352;6061.296389;6061.312719;794594;794594;794594;9933;9933;12713504;12713544;100.000;1132.619;778.561;3051.251;3427.900;3051.251;16.314;1.223;10.653;5.920;2.899;33.530;17.200;16.330;65.239;48.702;4.037;18.909;0.560;0.699;0;0;0;0;0;0;0;0
148;1;1;1;6061.325635;6061.330137;6061.347106;797998;797998;797998;9975;9975;12767968;12768008;100.000;1073.796;752.407;3064.322;3442.564;3064.322;16.953;1.637;11.091;5.971;2.844;34.387;17.418;16.970;65.357;49.348;4.502;19.963;0.414;0.681;0;0;0;0;0;0;0;0
149;1;1;1;6061.358594;6061.363161;6061.379852;798639;798639;798639;9983;9983;12778224;12778264;100.000;1100.352;765.543;3066.783;3445.329;3066.783;16.666;1.217;10.664;5.963;2.844;32.746;16.054;16.692;63.887;50.973;4.566;19.376;0.309;0.658;0;0;0;0;0;0;0;0
