frame_id;rx_complete;tx_complete;current_skip;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_media_bytes;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;arrived_points;eroded_points;valid_points;erosion_ms;reconstruction_ms;pose_ms;reconstruction_pipeline_ms;tx_duration_ms;active_tx_ms;active_process_ms;reference_process_ms;total_processing_ms;total_residency_ms;reference_residency_ms;node_efficiency_pct;reference_efficiency_pct;gpu_transfer_ms;gpu_copyback_ms;host_overhead_ms;camera_node_ms;e2e_latency_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;pose_control_ms;codec_queue_ms;frame_queue_ms;codec_backlog;decode_service_ms;decode_h265_ms;ffmpeg_write_calls;ffmpeg_write_failures;codec_queue_drops;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
13;1;1;1;0.000000;0.000000;1.000000;2799.553537;2799.609729;2799.750216;780926;26132;142868;20;1786;26132;28452;100.000;0.640;0.694;548.626;588.905;6.828;157785;151108;142868;0.193;0.111;0.069;2.933;1.171;0.374;38.892;37.652;140.183;140.487;139.300;27.683;27.030;1.409;0.192;0.959;56.192;196.679;140.411;27.961;5.373;2.209;0.000;0.303;0.000;20;34.788;136.062;2;0;0;0;0;0;0;0
14;1;1;1;0.000000;0.000000;1.000000;2799.586992;2799.650779;2799.780614;782770;26508;144928;21;1812;26508;28944;100.000;0.842;0.916;556.536;597.402;6.947;159421;153009;144928;0.231;0.112;0.070;2.330;1.380;0.094;34.481;33.031;129.817;129.835;128.420;26.558;25.721;1.471;0.303;0.143;63.786;193.621;137.476;41.050;7.717;2.553;0.000;0.018;0.001;9;30.771;126.071;4;0;0;0;0;0;0;0
15;1;1;1;0.000000;0.000000;1.000000;2799.622851;2799.682422;2799.815434;784474;27260;146044;21;1826;27260;29696;100.000;0.783;0.850;560.821;602.004;7.127;159965;153314;146044;0.186;0.110;0.071;2.444;1.401;0.375;38.530;37.059;132.835;133.011;131.580;28.967;28.164;1.654;0.298;0.126;59.571;192.583;138.963;31.644;1.690;2.499;0.000;0.176;0.001;21;34.685;128.957;2;0;0;0;0;0;0;0
16;1;1;1;0.000000;0.000000;1.000000;2799.653713;2799.717453;2799.851742;785193;131788;145822;101;1823;131788;143504;100.000;4.201;4.571;559.969;601.083;34.441;177968;156948;145822;0.239;0.108;0.065;4.692;1.470;0.085;40.156;38.622;134.254;134.289;132.797;29.903;29.084;1.663;1.211;1.407;63.740;198.029;141.937;35.030;1.697;2.449;0.000;0.035;0.000;37;33.995;128.068;8;0;0;0;0;0;0;0
17;1;1;1;0.087266;0.000000;1.000000;2799.687103;2799.748878;2799.886760;782720;28764;144126;22;1802;28764;31316;100.000;0.847;0.920;553.456;594.097;7.516;169127;155796;144126;0.188;0.106;0.067;2.884;1.789;0.560;41.176;39.321;137.838;137.882;136.072;29.863;28.897;1.443;0.194;0.886;61.774;199.656;143.622;31.425;1.908;2.415;18.698;0.044;0.000;17;36.503;133.143;3;0;0;0;0;0;0;0
18;1;1;1;0.087266;0.000000;1.000000;2799.720236;2799.782974;2799.914958;781613;23124;141930;18;1775;23124;25212;100.000;0.684;0.743;545.024;585.055;6.051;164376;152343;141930;0.189;0.111;0.069;2.206;1.313;0.074;32.861;31.480;131.946;131.983;130.643;24.898;24.096;1.449;0.280;0.108;62.738;194.722;138.487;34.097;0.763;2.312;0.000;0.037;0.001;17;29.343;128.399;2;0;0;0;0;0;0;0
19;1;1;1;0.087266;0.000000;1.000000;2799.753652;2799.816964;2799.951326;780006;22184;139740;17;1747;22184;24156;100.000;0.660;0.715;536.614;576.014;5.797;160684;150225;139740;1.139;0.109;0.068;4.061;1.130;0.061;39.883;38.685;134.342;134.362;133.215;29.683;29.040;1.478;0.183;1.086;63.312;197.674;141.522;33.990;0.656;2.208;0.000;0.020;0.000;11;34.692;129.121;3;0;0;0;0;0;0;0
20;1;1;1;0.087266;0.000000;1.000000;2799.787030;2799.850820;2799.982294;780302;22936;138346;18;1730;22936;25024;100.000;0.717;0.779;531.261;570.277;6.006;157894;148300;138346;0.195;0.113;0.069;2.453;1.546;0.516;36.147;34.532;131.426;131.473;129.902;27.494;26.583;1.616;0.306;0.154;63.790;195.263;139.156;33.856;0.523;2.103;0.000;0.047;0.000;17;32.148;127.401;2;0;0;0;0;0;0;0
21;1;1;1;0.087266;0.000000;1.000000;2799.820344;2799.882971;2800.016907;779066;24816;137844;19;1724;24816;27020;100.000;0.722;0.783;529.333;568.214;6.485;156303;147479;137844;0.193;0.105;0.063;2.365;0.871;0.051;38.618;37.684;133.911;133.936;133.050;28.833;28.323;1.749;0.181;0.072;62.627;196.563;140.436;32.150;1.183;2.046;0.000;0.025;0.000;10;35.383;130.658;4;0;0;0;0;0;0;0
22;1;1;1;0.174533;0.000000;1.000000;2799.854081;2799.917545;2800.048773;778280;25192;138092;20;1727;25192;27512;100.000;0.779;0.848;530.286;569.234;6.603;156434;148303;138092;0.190;0.110;0.068;2.205;1.506;0.383;35.077;33.503;131.199;131.228;129.686;26.730;25.834;1.428;0.271;0.139;63.464;194.692;138.969;34.574;1.241;1.995;3.533;0.029;0.000;10;31.365;127.449;3;0;0;0;0;0;0;0
23;1;1;1;0.174533;0.000000;1.000000;2799.887660;2799.950024;2800.080925;778907;25944;138240;20;1728;25944;28264;100.000;0.765;0.831;530.854;569.825;6.783;155826;148511;138240;0.197;0.108;0.067;2.293;0.975;0.061;35.869;34.827;130.897;130.902;129.901;27.401;26.811;1.620;0.202;0.100;62.363;193.265;137.788;32.479;0.855;1.924;0.000;0.004;0.000;18;32.601;127.602;3;0;0;0;0;0;0;0
24;1;1;1;0.174533;0.000000;1.000000;2799.920448;2799.984095;2800.114697;779289;23876;138556;19;1732;23876;26080;100.000;0.758;0.825;532.068;571.129;6.259;155133;147900;138556;0.236;0.111;0.069;2.254;1.472;0.093;37.039;35.499;130.577;130.602;129.108;28.360;27.496;1.452;0.299;0.089;63.647;194.249;138.226;34.071;0.738;1.850;0.000;0.025;0.000;11;33.313;126.827;4;0;0;0;0;0;0;0
25;1;1;1;0.174533;0.000000;1.000000;2799.954076;2800.015755;2800.150945;779739;25004;138952;19;1737;25004;27208;100.000;628.057;681.021;533.588;572.762;6.530;154951;148061;138952;0.185;0.104;0.063;2.414;1.081;0.310;39.978;38.833;135.164;135.189;134.094;29.572;28.960;1.813;0.181;0.067;61.679;196.869;141.140;31.660;1.673;1.839;0.000;0.026;0.000;13;36.483;131.652;2;0;0;0;0;0;0;0
26;1;1;1;0.174533;0.000000;1.000000;2799.986791;2800.050415;2800.181407;779364;26508;139454;21;1744;26508;28944;100.000;0.830;0.904;535.516;574.848;6.947;155091;148214;139454;0.194;0.110;0.069;2.196;1.569;0.100;33.933;32.296;130.975;130.991;129.387;25.905;24.960;1.449;0.263;0.112;63.624;194.615;138.269;34.660;1.327;1.807;0.000;0.017;0.000;9;30.168;127.172;4;0;0;0;0;0;0;0
